timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.011573843,-0.696392757,-0.05601908,-0.053265995,-0.360718647,Subject C,Focused
-0.012155281,-0.627239744,-0.102432806,-0.02782769,-0.370905905,Subject C,Focused
-0.01273758,-0.124581205,-0.187548868,-0.014328502,-0.119448338,Subject C,Focused
-0.013320639,0.213687648,-0.276108227,-0.016006959,0.179567285,Subject C,Focused
-0.013904363,-0.012599321,-0.336726064,-0.025086476,0.187453366,Subject C,Focused
-0.014488664,-0.45918701,-0.356724314,-0.025783487,-0.163276892,Subject C,Focused
-0.015073458,-0.487419252,-0.339636586,-0.008141998,-0.562688963,Subject C,Focused
-0.015658656,-0.019303023,-0.296783046,0.017950715,-0.659282681,Subject C,Focused
-0.01624416,0.348447962,-0.243341085,0.028074672,-0.456868135,Subject C,Focused
-0.016829875,0.131604028,-0.196753937,0.009427373,-0.288449864,Subject C,Focused
-0.017415704,-0.40026057,-0.168916609,-0.019242682,-0.390850427,Subject C,Focused
-0.018001551,-0.579606718,-0.15400847,-0.021667538,-0.613602827,Subject C,Focused
-0.018587318,-0.215929375,-0.130401863,0.016759746,-0.630076438,Subject C,Focused
-0.019172904,0.168752689,-0.085242976,0.068607431,-0.363339266,Subject C,Focused
-0.019758209,0.048660835,-0.033963022,0.092399915,-0.064396514,Subject C,Focused
-0.020343133,-0.388635026,-0.002757122,0.080464695,0.035040997,Subject C,Focused
-0.020927574,-0.464138049,0.006471155,0.066970867,-0.000748377,Subject C,Focused
-0.021511433,0.100051581,0.017349899,0.082579726,0.030013276,Subject C,Focused
-0.022094606,0.764329923,0.041458874,0.11297845,0.136985754,Subject C,Focused
-0.022676993,0.793412457,0.055045184,0.117161755,0.1244584,Subject C,Focused
-0.023258489,0.157759698,0.024098906,0.082968913,-0.095139487,Subject C,Focused
-0.023838993,-0.423125952,-0.054074066,0.045636679,-0.322594218,Subject C,Focused
-0.024418401,-0.35936546,-0.143115728,0.043137719,-0.29760938,Subject C,Focused
-0.024996608,0.119403277,-0.199280886,0.068052377,-0.036109612,Subject C,Focused
-0.02557351,0.326210991,-0.206270026,0.081247271,0.172751906,Subject C,Focused
-0.026149002,0.028308859,-0.182488084,0.067106724,0.117454047,Subject C,Focused
-0.026722978,-0.295957133,-0.162821677,0.052631597,-0.08864009,Subject C,Focused
-0.027295333,-0.168915237,-0.176681567,0.065433391,-0.185033913,Subject C,Focused
-0.027865962,0.192351044,-0.235851984,0.092188408,-0.125839262,Subject C,Focused
-0.028434759,0.155675144,-0.329149853,0.095621907,-0.136455681,Subject C,Focused
-0.029001616,-0.444933016,-0.421788364,0.064033037,-0.392925433,Subject C,Focused
-0.029566427,-1.031464239,-0.46945655,0.024703951,-0.767446106,Subject C,Focused
