timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
0.000940275,0.39759114,-0.027305338,0.020048638,0.000863862,Subject A,Focused
0.00094752,0.081047621,-0.038473293,0.0046556,-0.048374047,Subject A,Focused
0.000926279,0.058662568,-0.070433776,-0.025378542,-0.017272339,Subject A,Focused
0.000843764,0.434772904,-0.108413977,-0.057590598,0.140554791,Subject A,Focused
0.000718054,0.791497546,-0.124423122,-0.074026698,0.302152339,Subject A,Focused
0.00058954,0.710724614,-0.112645519,-0.068171946,0.326588014,Subject A,Focused
0.00047996,0.293321787,-0.099432653,-0.052799204,0.227270279,Subject A,Focused
0.000382929,0.008908889,-0.111440733,-0.046958952,0.14105421,Subject A,Focused
0.000283945,0.089195471,-0.142480341,-0.05558331,0.140514314,Subject A,Focused
0.000178714,0.265455138,-0.163631838,-0.066653361,0.146372916,Subject A,Focused
7.28e-05,0.168266766,-0.162863151,-0.068738983,0.049337629,Subject A,Focused
-2.86e-05,-0.175475417,-0.159401917,-0.064028173,-0.142295403,Subject A,Focused
-0.000125889,-0.405651605,-0.173980856,-0.059393068,-0.325961913,Subject A,Focused
-0.000221989,-0.329316764,-0.198611592,-0.051318255,-0.438797888,Subject A,Focused
-0.00031836,-0.166712073,-0.208919043,-0.029533601,-0.511520298,Subject A,Focused
-0.000414088,-0.226753239,-0.200087183,0.005452242,-0.595429199,Subject A,Focused
-0.000507938,-0.465417394,-0.193674096,0.038034138,-0.678786176,Subject A,Focused
-0.000599782,-0.523875784,-0.204213607,0.054142072,-0.692588425,Subject A,Focused
-0.000690249,-0.203992091,-0.212413957,0.056308565,-0.591785572,Subject A,Focused
-0.000779757,0.238995394,-0.185714206,0.058384267,-0.420213209,Subject A,Focused
-0.000868198,0.383175971,-0.123683081,0.069397096,-0.274308493,Subject A,Focused
-0.000955303,0.160106809,-0.067881564,0.086617738,-0.185125539,Subject A,Focused
-0.001041015,-0.053862894,-0.056003374,0.101185146,-0.061177141,Subject A,Focused
-0.00112547,0.095029926,-0.072991354,0.105036408,0.204426707,Subject A,Focused
-0.001208795,0.50156594,-0.06394199,0.093366993,0.573598763,Subject A,Focused
-0.001291003,0.756302739,-0.000174243,0.06658052,0.868183282,Subject A,Focused
-0.001372055,0.684360251,0.080901811,0.032883127,0.961472709,Subject A,Focused
-0.001451948,0.55349126,0.113821322,0.00623458,0.917025153,Subject A,Focused
-0.001530725,0.676718205,0.076859092,-0.001845027,0.887717877,Subject A,Focused
-0.001608436,0.951105671,0.012880007,0.009791658,0.905655763,Subject A,Focused
-0.001685106,0.96877862,-0.020540381,0.030233492,0.842642125,Subject A,Focused
-0.001760745,0.566981504,-0.008610444,0.041372929,0.588814936,Subject A,Focused
-0.001835368,0.079815756,0.017860991,0.027751366,0.204408453,Subject A,Focused
-0.001908998,-0.061374582,0.025163083,-0.011329122,-0.148076972,Subject A,Focused
-0.001981663,0.136717689,0.008701642,-0.056253021,-0.377624162,Subject A,Focused
-0.002053383,0.259801558,-0.015614403,-0.078257176,-0.511805204,Subject A,Focused
-0.002124173,0.032905482,-0.037560559,-0.062616229,-0.59155567,Subject A,Focused
-0.002194051,-0.342035172,-0.060465054,-0.021826296,-0.592588313,Subject A,Focused
-0.002263032,-0.484407361,-0.086676411,0.016493521,-0.481889786,Subject A,Focused
-0.002331134,-0.344009205,-0.105363088,0.033993012,-0.31304788,Subject A,Focused
-0.002398373,-0.240423186,-0.100670105,0.031401266,-0.214175782,Subject A,Focused
-0.002464763,-0.404277392,-0.070348957,0.01735962,-0.268961384,Subject A,Focused
-0.002530317,-0.651601223,-0.031531296,-0.003512564,-0.430300156,Subject A,Focused
-0.002595047,-0.626053261,-0.006679194,-0.027580292,-0.570295592,Subject A,Focused
-0.002658965,-0.284727259,-0.00673014,-0.044387526,-0.611186895,Subject A,Focused
-0.00272208,0.015732196,-0.028311979,-0.041331129,-0.586921989,Subject A,Focused
-0.002784397,-0.045139271,-0.061163444,-0.017649332,-0.568417168,Subject A,Focused
-0.002845923,-0.351096073,-0.093115407,0.011072986,-0.556161543,Subject A,Focused
-0.002906661,-0.501729734,-0.112005692,0.025773689,-0.490031149,Subject A,Focused
-0.002966613,-0.324134871,-0.111509848,0.020751251,-0.367995101,Subject A,Focused
-0.003025781,-0.082229095,-0.098161308,0.006444487,-0.298140857,Subject A,Focused
-0.003084164,-0.112503032,-0.088182869,-0.003686366,-0.381288603,Subject A,Focused
-0.00314176,-0.364517839,-0.0921139,-0.006718507,-0.56536745,Subject A,Focused
-0.003198569,-0.451774672,-0.10299667,-0.009294234,-0.679948224,Subject A,Focused
-0.003254586,-0.148090946,-0.105538551,-0.014320804,-0.625501617,Subject A,Focused
-0.003309808,0.318414364,-0.099864599,-0.012991194,-0.479199065,Subject A,Focused
-0.003364229,0.544520456,-0.110117444,0.005120273,-0.389206536,Subject A,Focused
-0.003417841,0.423484601,-0.160950031,0.034688014,-0.397965229,Subject A,Focused
-0.003470637,0.20849024,-0.244793992,0.054704824,-0.402961581,Subject A,Focused
-0.003522608,0.135161486,-0.318496795,0.050947859,-0.284288496,Subject A,Focused
-0.003573743,0.135391795,-0.337143108,0.033662609,-0.04778025,Subject A,Focused
-0.003624032,0.006799384,-0.292574874,0.025600496,0.170934136,Subject A,Focused
-0.003673464,-0.23389202,-0.219421789,0.034418225,0.246342693,Subject A,Focused
-0.003722026,-0.330546368,-0.164727994,0.045201376,0.191794146,Subject A,Focused
-0.003769708,-0.146889063,-0.151886142,0.041737872,0.12474279,Subject A,Focused
-0.003816499,0.098458125,-0.170340281,0.027455331,0.115335944,Subject A,Focused
-0.00386239,0.083648649,-0.193411518,0.019959489,0.121216857,Subject A,Focused
-0.00390737,-0.189199287,-0.202651315,0.028726356,0.085214454,Subject A,Focused
