timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
0.01439871,-0.536417237,-0.127407066,-0.123248713,-0.511032639,Subject B,Focused
0.014098945,-0.044359235,-0.108638867,-0.086148847,-0.4738237,Subject B,Focused
0.01379785,0.01393842,-0.076235562,-0.062462572,-0.449661622,Subject B,Focused
0.013494869,-0.426807031,-0.036743752,-0.064106284,-0.461339982,Subject B,Focused
0.013189659,-0.761823231,0.001671463,-0.099580448,-0.44222769,Subject B,Focused
0.012882405,-0.531356077,0.033481982,-0.162497456,-0.366422077,Subject B,Focused
0.012573448,-0.01775204,0.06202133,-0.220108893,-0.315341768,Subject B,Focused
0.012262922,0.151897724,0.097654117,-0.228094466,-0.367714813,Subject B,Focused
0.011950767,-0.155820141,0.14287975,-0.16852936,-0.459044679,Subject B,Focused
0.011636933,-0.42291428,0.181718689,-0.071023331,-0.419876563,Subject B,Focused
0.011321483,-0.197570076,0.192227518,0.010947036,-0.173607575,Subject B,Focused
0.011004535,0.287362579,0.170983295,0.045385995,0.14382795,Subject B,Focused
0.010686166,0.426134257,0.139145184,0.041659124,0.302295476,Subject B,Focused
0.01036641,0.058218071,0.120573984,0.029847782,0.209937088,Subject B,Focused
0.01004529,-0.315782574,0.116105594,0.028053854,-0.00731033,Subject B,Focused
0.009722853,-0.216737431,0.104065072,0.03054343,-0.166390244,Subject B,Focused
0.009399162,0.1577115,0.069617002,0.021023927,-0.226632009,Subject B,Focused
0.009074271,0.202161878,0.031416188,-0.007715468,-0.290421208,Subject B,Focused
0.008748224,-0.260702938,0.03113707,-0.046231905,-0.42839074,Subject B,Focused
0.008421061,-0.71204575,0.091500916,-0.07714902,-0.568498952,Subject B,Focused
0.008092825,-0.609080492,0.187474261,-0.090240011,-0.584108869,Subject B,Focused
0.007763564,-0.101549324,0.261962633,-0.088873522,-0.450821583,Subject B,Focused
0.007433325,0.164413899,0.269541622,-0.081792846,-0.270107367,Subject B,Focused
0.007102148,-0.107766141,0.209024833,-0.071120007,-0.145604683,Subject B,Focused
0.006770075,-0.492601986,0.121283907,-0.05297799,-0.078445181,Subject B,Focused
0.006437145,-0.431082155,0.054701456,-0.030310774,-0.005492051,Subject B,Focused
0.006103398,0.005986634,0.024482986,-0.0183522,0.081809755,Subject B,Focused
0.005768872,0.195948465,0.004114545,-0.03097891,0.098311845,Subject B,Focused
0.005433604,-0.207858712,-0.038313542,-0.063299645,-0.034366138,Subject B,Focused
0.005097629,-0.783265771,-0.098188426,-0.093336095,-0.267024422,Subject B,Focused
0.004760981,-0.84692108,-0.139170614,-0.101511326,-0.442351277,Subject B,Focused
0.004423691,-0.326656884,-0.141065973,-0.084967901,-0.453019344,Subject B,Focused
0.004085793,0.132838875,-0.128776457,-0.053367899,-0.358008365,Subject B,Focused
0.003747315,-0.016289905,-0.141623272,-0.017176012,-0.313426255,Subject B,Focused
0.003408287,-0.538248818,-0.18144216,0.015812402,-0.395812019,Subject B,Focused
0.003068736,-0.742488017,-0.208819437,0.037708789,-0.525952273,Subject B,Focused
0.002728688,-0.392003283,-0.194863831,0.043875953,-0.573940438,Subject B,Focused
0.00238817,-0.001472268,-0.16282221,0.040873223,-0.506388006,Subject B,Focused
0.002047207,-0.14579098,-0.166219056,0.043422943,-0.401612224,Subject B,Focused
0.001705823,-0.696462828,-0.229983718,0.057892786,-0.338641206,Subject B,Focused
0.00136404,-0.982679589,-0.324754907,0.072754486,-0.317895938,Subject B,Focused
0.001021881,-0.656452078,-0.400524983,0.071218294,-0.306520551,Subject B,Focused
0.000679364,-0.133630788,-0.435063087,0.051628872,-0.322513741,Subject B,Focused
