timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.00212968,0.194071061,0.133618537,0.163027767,0.499302422,Subject D,Focused
-0.002365718,-0.209817493,0.130026493,0.141023409,0.195693683,Subject D,Focused
-0.002601547,0.004650234,0.092688656,0.152041857,-0.012310588,Subject D,Focused
-0.002837152,0.483302603,0.080134221,0.172078311,0.032964697,Subject D,Focused
-0.003072519,0.461538875,0.106203404,0.173778626,0.126389987,Subject D,Focused
-0.003307632,-0.219535034,0.124588578,0.167729831,0.03660812,Subject D,Focused
-0.003542475,-0.873687012,0.082031126,0.190650797,-0.146781837,Subject D,Focused
-0.003777035,-0.830675405,-0.017616557,0.25660865,-0.138069397,Subject D,Focused
-0.004011298,-0.272855217,-0.108869725,0.33957557,0.125744344,Subject D,Focused
-0.004245251,0.043672518,-0.128102711,0.410941012,0.362066752,Subject D,Focused
-0.00447888,-0.203197549,-0.079336143,0.478454421,0.302420024,Subject D,Focused
-0.004712176,-0.508875891,-0.0307594,0.570211167,0.054727943,Subject D,Focused
-0.004945126,-0.270826349,-0.044613619,0.681169835,-0.030130727,Subject D,Focused
-0.005177722,0.359034062,-0.117022198,0.754214875,0.176929034,Subject D,Focused
-0.005409955,0.65131616,-0.191191075,0.732198726,0.406860271,Subject D,Focused
-0.005641817,0.269116162,-0.220680072,0.627596678,0.350480187,Subject D,Focused
-0.0058733,-0.271413443,-0.205394681,0.520275721,0.077546417,Subject D,Focused
-0.006104397,-0.274874192,-0.16787455,0.472366775,-0.053551695,Subject D,Focused
-0.0063351,0.214300395,-0.116879344,0.460299105,0.115684731,Subject D,Focused
-0.006565401,0.47390545,-0.050955154,0.414952166,0.32116024,Subject D,Focused
-0.006795294,0.076870143,0.013218645,0.320091831,0.234422472,Subject D,Focused
-0.007024768,-0.517274641,0.040457047,0.233846994,-0.083461792,Subject D,Focused
-0.007253814,-0.557468159,0.012512388,0.202760615,-0.263958243,Subject D,Focused
-0.007482419,-0.007624777,-0.048121322,0.193620858,-0.144665998,Subject D,Focused
-0.00771057,0.384337566,-0.097753901,0.14429293,-0.002306072,Subject D,Focused
