timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.182441441,-0.109609561,0.061690295,-0.054872757,0.420904868,Subject C,Focused
-0.183505903,-0.018401089,0.092332839,-0.067018015,0.467780956,Subject C,Focused
-0.184546956,-0.189234817,0.109529613,-0.080956619,0.259898024,Subject C,Focused
-0.185578849,-0.401249653,0.102433374,-0.078904633,-0.09424629,Subject C,Focused
-0.186607713,-0.356858611,0.079806545,-0.057193578,-0.259139868,Subject C,Focused
-0.18761156,-0.075029294,0.07145838,-0.032632869,-0.088036271,Subject C,Focused
-0.18854975,0.118309177,0.09964838,-0.026051964,0.164043093,Subject C,Focused
-0.189403955,-0.000209025,0.150883701,-0.040975071,0.138716192,Subject C,Focused
-0.190206719,-0.258827621,0.186527057,-0.060558448,-0.170531017,Subject C,Focused
-0.191017697,-0.286894339,0.185073027,-0.066962771,-0.386580832,Subject C,Focused
-0.191869435,0.041190752,0.165910361,-0.062909572,-0.199832783,Subject C,Focused
-0.192743608,0.45767943,0.163987398,-0.069731569,0.247697902,Subject C,Focused
-0.193599584,0.615971371,0.185492369,-0.100359479,0.518657427,Subject C,Focused
-0.194415382,0.470501968,0.199029184,-0.137824995,0.382841564,Subject C,Focused
-0.195197142,0.274546228,0.174099379,-0.148814089,0.053010156,Subject C,Focused
-0.195959125,0.243322013,0.121587648,-0.120169585,-0.110108337,Subject C,Focused
-0.196705381,0.324962555,0.086971913,-0.07460722,-0.027803746,Subject C,Focused
-0.197430124,0.336623309,0.101072208,-0.045838318,0.061490294,Subject C,Focused
-0.198127908,0.233058515,0.143845003,-0.043445478,-0.041169972,Subject C,Focused
-0.198798819,0.132108788,0.164384551,-0.04816861,-0.237723874,Subject C,Focused
-0.199445654,0.096821926,0.136748119,-0.039478272,-0.293500083,Subject C,Focused
-0.200069591,0.027776118,0.088811129,-0.021587511,-0.168771174,Subject C,Focused
-0.200669481,-0.158258477,0.069846564,-0.018723388,-0.068493176,Subject C,Focused
-0.201243851,-0.338374352,0.092288172,-0.044476562,-0.154026751,Subject C,Focused
-0.201792341,-0.306920066,0.115421786,-0.079852472,-0.31379219,Subject C,Focused
-0.202315349,-0.082064747,0.091769621,-0.089130455,-0.304050404,Subject C,Focused
-0.202813064,0.045557283,0.021932234,-0.059347766,-0.071734497,Subject C,Focused
-0.203285147,-0.148289648,-0.046808552,-0.015849112,0.171791479,Subject C,Focused
-0.203731108,-0.507178721,-0.073042208,0.006983047,0.219213652,Subject C,Focused
-0.204150663,-0.638252713,-0.058925099,0.002467914,0.114440175,Subject C,Focused
-0.204543726,-0.374825638,-0.032806849,-0.00965247,0.059572728,Subject C,Focused
-0.204910202,0.013552081,-0.010302042,-0.013407487,0.130132902,Subject C,Focused
-0.205249882,0.138873613,0.012208033,-0.010889562,0.188569814,Subject C,Focused
-0.205562509,-0.046809385,0.032993216,-0.008218198,0.094890767,Subject C,Focused
-0.205847861,-0.221062055,0.036718889,-0.003518955,-0.089065591,Subject C,Focused
-0.206105764,-0.118399676,0.01977706,0.004748606,-0.181164054,Subject C,Focused
-0.206336054,0.13218944,0.00831122,0.008540198,-0.131082348,Subject C,Focused
-0.206538546,0.182504271,0.031812129,-0.000878165,-0.097664185,Subject C,Focused
-0.206713042,-0.085460208,0.080155694,-0.019040034,-0.237494635,Subject C,Focused
-0.206859354,-0.414494626,0.1057896,-0.031145089,-0.474523817,Subject C,Focused
-0.206977306,-0.501857491,0.07940211,-0.027969723,-0.560734598,Subject C,Focused
-0.20706673,-0.366855719,0.031028131,-0.014748573,-0.377745096,Subject C,Focused
-0.207127454,-0.294424769,0.01722651,-0.005811204,-0.11265482,Subject C,Focused
-0.207159308,-0.454688497,0.050044882,-0.012911593,-0.068991164,Subject C,Focused
-0.207162124,-0.702438802,0.080073677,-0.0353545,-0.311902652,Subject C,Focused
-0.20713574,-0.794392337,0.059078574,-0.058617558,-0.570498636,Subject C,Focused
-0.207079998,-0.705453869,0.002081258,-0.066988066,-0.537105126,Subject C,Focused
-0.206994743,-0.622086465,-0.031572434,-0.061258487,-0.225410226,Subject C,Focused
-0.206879823,-0.649472776,-0.012209927,-0.059163849,0.046953515,Subject C,Focused
-0.206735087,-0.650830544,0.027283264,-0.073412928,0.045431977,Subject C,Focused
-0.20656039,-0.442843016,0.038915444,-0.094152843,-0.100252704,Subject C,Focused
-0.206355588,-0.082344271,0.02142719,-0.100378285,-0.084326595,Subject C,Focused
-0.20612054,0.152369911,0.01617268,-0.085677047,0.157396709,Subject C,Focused
-0.205855107,0.086321849,0.048133553,-0.064016613,0.356640941,Subject C,Focused
-0.205559154,-0.131349835,0.094340923,-0.050440496,0.272497691,Subject C,Focused
-0.205232548,-0.206417019,0.118770623,-0.045758081,0.009458404,Subject C,Focused
-0.204875158,-0.060678967,0.121078325,-0.044184586,-0.136669644,Subject C,Focused
-0.204486857,0.09218961,0.133440382,-0.047041635,-0.075843517,Subject C,Focused
-0.204067519,0.05262842,0.174251343,-0.059021597,-0.015063278,Subject C,Focused
-0.203617023,-0.098491342,0.22216908,-0.073934705,-0.148386406,Subject C,Focused
-0.20313525,-0.139814894,0.242637042,-0.075546119,-0.397442523,Subject C,Focused
-0.202622081,-0.047049655,0.230968504,-0.056879971,-0.537923235,Subject C,Focused
-0.202077403,-0.03515521,0.216841904,-0.032379951,-0.499151204,Subject C,Focused
-0.201501104,-0.234780211,0.224115034,-0.024757259,-0.426444967,Subject C,Focused
-0.200893072,-0.460980166,0.235791904,-0.040976901,-0.457695441,Subject C,Focused
-0.200253201,-0.41754592,0.208927891,-0.065288522,-0.54226203,Subject C,Focused
-0.199581387,-0.087493963,0.125378265,-0.076259988,-0.53809757,Subject C,Focused
-0.198877528,0.202658294,0.021650109,-0.067395463,-0.430927425,Subject C,Focused
-0.198141524,0.150946414,-0.038985738,-0.049128177,-0.361378059,Subject C,Focused
-0.197373276,-0.160255116,-0.02828904,-0.033106183,-0.419878377,Subject C,Focused
-0.196572685,-0.357054436,0.016005218,-0.019239401,-0.496784576,Subject C,Focused
-0.195739657,-0.220205621,0.028060163,-0.00070728,-0.411451542,Subject C,Focused
-0.194874096,0.049077551,-0.018445106,0.020221695,-0.167801992,Subject C,Focused
-0.193975911,0.071891903,-0.09038862,0.027409052,0.007020865,Subject C,Focused
-0.193045008,-0.243361844,-0.142067752,0.008558093,-0.077327746,Subject C,Focused
-0.192081298,-0.581279513,-0.163668758,-0.022195686,-0.32915341,Subject C,Focused
-0.191084689,-0.593825022,-0.171615915,-0.029456652,-0.466114923,Subject C,Focused
-0.190055095,-0.303283423,-0.167363178,0.006147037,-0.344045094,Subject C,Focused
-0.188992427,-0.041984885,-0.132984502,0.061078728,-0.112140989,Subject C,Focused
-0.1878966,-0.035137006,-0.071082237,0.092132781,-0.006505849,Subject C,Focused
-0.186767527,-0.168494129,-0.02549857,0.085197411,-0.063858559,Subject C,Focused
-0.185605123,-0.201028248,-0.042432692,0.066219636,-0.123432306,Subject C,Focused
-0.1844093,-0.096894082,-0.115042831,0.061608492,-0.082198272,Subject C,Focused
-0.183179974,-0.036788143,-0.181658204,0.065116128,-0.035329111,Subject C,Focused
-0.181917057,-0.128229339,-0.183980766,0.054565906,-0.114028929,Subject C,Focused
-0.180620465,-0.231218256,-0.121786234,0.028622413,-0.26152605,Subject C,Focused
-0.179290113,-0.144543936,-0.047889033,0.009923693,-0.277123999,Subject C,Focused
-0.177925916,0.097799752,-0.014934515,0.01369488,-0.089331592,Subject C,Focused
-0.17652779,0.235073398,-0.032177246,0.028106149,0.111898015,Subject C,Focused
-0.175095653,0.109469564,-0.069284863,0.031670623,0.091417805,Subject C,Focused
-0.173629423,-0.112962365,-0.089848562,0.021574953,-0.124019476,Subject C,Focused
-0.172129018,-0.139736117,-0.07579893,0.015868247,-0.25668708,Subject C,Focused
-0.170594359,0.077442871,-0.030550043,0.029327895,-0.11744335,Subject C,Focused
-0.169025366,0.287011171,0.025218606,0.054598103,0.157483141,Subject C,Focused
-0.167421961,0.271511552,0.06056388,0.070022687,0.282453559,Subject C,Focused
-0.165784067,0.126733656,0.053837393,0.062783605,0.175193448,Subject C,Focused
-0.164111607,0.117071902,0.017633022,0.041271788,0.021768327,Subject C,Focused
-0.162404506,0.305834065,-0.001114116,0.025967326,-0.004458945,Subject C,Focused
-0.16066269,0.459989602,0.040429464,0.031193698,0.038382491,Subject C,Focused
-0.158886085,0.362878124,0.135561145,0.056298809,-0.007695723,Subject C,Focused
-0.157074621,0.119573905,0.224139043,0.091550623,-0.132109065,Subject C,Focused
-0.155228231,0.03776585,0.241136732,0.128010863,-0.13457164,Subject C,Focused
-0.15334685,0.225693011,0.17471524,0.159361696,0.11712116,Subject C,Focused
-0.151430414,0.434476587,0.0780219,0.177633014,0.484100997,Subject C,Focused
-0.149478864,0.364772789,0.021528396,0.174927555,0.669375542,Subject C,Focused
-0.147492141,0.048104129,0.030854142,0.153511711,0.527538284,Subject C,Focused
-0.145470192,-0.194696807,0.071730322,0.129941194,0.221033254,Subject C,Focused
-0.143412966,-0.165665835,0.096341904,0.122313394,0.043051155,Subject C,Focused
-0.141320415,-0.03133438,0.097721918,0.13211942,0.103136842,Subject C,Focused
-0.139192498,-0.078336472,0.109398292,0.142558702,0.23002109,Subject C,Focused
-0.137029176,-0.312885575,0.154189146,0.137580218,0.199203022,Subject C,Focused
-0.134830412,-0.439116075,0.208563319,0.120829782,0.013179962,Subject C,Focused
-0.132596179,-0.246221327,0.227171651,0.111468022,-0.103967796,Subject C,Focused
-0.13032645,0.108081215,0.19587339,0.120046228,0.010863604,Subject C,Focused
-0.128021206,0.295028951,0.148839124,0.133609092,0.256136556,Subject C,Focused
