timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.015203759,0.2566643,-0.030585841,0.027441567,0.50223957,Subject D,Focused
-0.015202902,0.182180748,-0.017193184,0.023038674,0.396352307,Subject D,Focused
-0.015201502,0.155457012,0.010358171,0.011542215,0.333393925,Subject D,Focused
-0.015199588,0.204663394,0.042577411,0.002042812,0.352650735,Subject D,Focused
-0.015197189,0.288284162,0.078435017,0.00051307,0.418911279,Subject D,Focused
-0.015194332,0.3333371,0.123024995,0.004141562,0.450083346,Subject D,Focused
-0.015191046,0.310754869,0.175040714,0.006187604,0.385500085,Subject D,Focused
-0.015187356,0.260876328,0.221196459,0.002825864,0.239296518,Subject D,Focused
-0.015183288,0.24069272,0.243359543,-0.006022364,0.090683203,Subject D,Focused
-0.015178866,0.25505646,0.230163297,-0.018272736,0.015352947,Subject D,Focused
-0.015174117,0.251914189,0.184732335,-0.029200257,0.025158204,Subject D,Focused
-0.015169064,0.189898468,0.125889517,-0.032773616,0.078232937,Subject D,Focused
-0.015163733,0.102822047,0.081218254,-0.027360207,0.136758723,Subject D,Focused
-0.015158148,0.079883876,0.072069733,-0.019222266,0.194521251,Subject D,Focused
-0.015152334,0.170609021,0.098820659,-0.017995045,0.251767002,Subject D,Focused
-0.015146314,0.319552245,0.139572674,-0.028284092,0.293365118,Subject D,Focused
-0.015140115,0.415799876,0.166278202,-0.045364715,0.307872605,Subject D,Focused
-0.015133759,0.409358172,0.165425024,-0.058252223,0.312504344,Subject D,Focused
-0.01512727,0.35788918,0.143932888,-0.057738207,0.342448717,Subject D,Focused
-0.015120671,0.344514146,0.115542831,-0.043072134,0.417984221,Subject D,Focused
-0.015113985,0.366298375,0.085619964,-0.021264573,0.5261579,Subject D,Focused
-0.015107232,0.336833467,0.053559364,-0.000331127,0.629256567,Subject D,Focused
-0.015100436,0.209007415,0.026720153,0.015565235,0.691163526,Subject D,Focused
-0.015093618,0.064226114,0.022637515,0.025032596,0.703586663,Subject D,Focused
-0.015086798,0.040380715,0.051890546,0.026909872,0.684663699,Subject D,Focused
-0.015079997,0.172122654,0.100087083,0.021148584,0.643516956,Subject D,Focused
-0.015073235,0.339578771,0.131426833,0.011208292,0.557810115,Subject D,Focused
-0.015066533,0.392294505,0.116402368,0.003083407,0.411359199,Subject D,Focused
-0.015059908,0.299408551,0.061361601,0.000637617,0.250453907,Subject D,Focused
-0.015053379,0.15888161,0.009473766,0.002131518,0.164309952,Subject D,Focused
-0.015046962,0.081922589,0.005576816,0.001977912,0.18493662,Subject D,Focused
-0.015040675,0.097657015,0.056035344,-0.003652333,0.228442664,Subject D,Focused
-0.01503453,0.158560948,0.124400165,-0.012497313,0.172854636,Subject D,Focused
-0.015028542,0.199179199,0.165892418,-0.017277369,-0.002032943,Subject D,Focused
-0.015022721,0.175626373,0.162623534,-0.011813427,-0.178985691,Subject D,Focused
-0.015017077,0.077880801,0.127734685,0.003119694,-0.221959415,Subject D,Focused
-0.015011621,-0.060489109,0.085860829,0.020039749,-0.118144355,Subject D,Focused
-0.015006361,-0.165593709,0.056195298,0.030708154,0.01120795,Subject D,Focused
-0.015001304,-0.168048644,0.048803851,0.031261964,0.035191806,Subject D,Focused
-0.014996457,-0.065623881,0.06644764,0.022420257,-0.064597333,Subject D,Focused
-0.014991826,0.066712827,0.10459183,0.007554685,-0.194544029,Subject D,Focused
-0.014987418,0.141549308,0.150903037,-0.007914181,-0.253620215,Subject D,Focused
-0.014983241,0.129068796,0.18782946,-0.017299844,-0.221285756,Subject D,Focused
-0.014979299,0.058000539,0.199224307,-0.015887977,-0.144791744,Subject D,Focused
-0.014975601,-0.034275924,0.179955839,-0.004263027,-0.062525235,Subject D,Focused
-0.014972152,-0.127348889,0.143743861,0.012014625,0.03652693,Subject D,Focused
-0.01496896,-0.198410495,0.119398007,0.025828634,0.175241112,Subject D,Focused
-0.014966029,-0.209587019,0.13091774,0.032002446,0.332298762,Subject D,Focused
-0.014963361,-0.136435287,0.175750958,0.02999888,0.447857213,Subject D,Focused
-0.014960959,-0.00341349,0.224736679,0.025295161,0.48764548,Subject D,Focused
-0.014958822,0.123241566,0.246973759,0.026367219,0.481353683,Subject D,Focused
-0.014956951,0.182030736,0.234949377,0.037083431,0.480662231,Subject D,Focused
-0.014955342,0.152767273,0.206475081,0.051982259,0.488658336,Subject D,Focused
-0.014953993,0.050602154,0.186140027,0.060928424,0.454860727,Subject D,Focused
-0.014952898,-0.100439709,0.185817417,0.058179279,0.345730061,Subject D,Focused
-0.014952052,-0.27309353,0.199162382,0.045692663,0.198308496,Subject D,Focused
-0.01495145,-0.422041131,0.212248721,0.029004484,0.083861781,Subject D,Focused
-0.014951082,-0.486862733,0.220334069,0.012482798,0.026564273,Subject D,Focused
-0.014950941,-0.426682523,0.234003103,-0.001552404,-0.017481451,Subject D,Focused
-0.014951016,-0.254100302,0.26654707,-0.011660252,-0.09393845,Subject D,Focused
-0.014951295,-0.034549497,0.315368811,-0.016883072,-0.185200457,Subject D,Focused
-0.014951768,0.148284573,0.358975172,-0.017141316,-0.234186452,Subject D,Focused
-0.014952418,0.238190271,0.373964751,-0.013344754,-0.222149586,Subject D,Focused
-0.01495323,0.237628653,0.354378514,-0.006931572,-0.188457367,Subject D,Focused
-0.014954185,0.201076016,0.315750518,0.001087943,-0.165085733,Subject D,Focused
-0.014955264,0.188380465,0.283538462,0.010731101,-0.126147352,Subject D,Focused
-0.014956443,0.216260198,0.276555825,0.021425387,-0.03060244,Subject D,Focused
-0.0149577,0.254409765,0.294198998,0.029079267,0.102746956,Subject D,Focused
-0.014959009,0.26541923,0.314257078,0.027125256,0.196890772,Subject D,Focused
-0.014960341,0.242484473,0.307642482,0.013231275,0.197965673,Subject D,Focused
-0.014961667,0.20781059,0.264123492,-0.005947049,0.136957878,Subject D,Focused
-0.014962955,0.177785961,0.204824311,-0.018966975,0.1023801,Subject D,Focused
