Mean,MSE,AF8_entropy,TP9_permutation_entropy,AF7_permutation_entropy,TP10_permutation_entropy,Abs_Power_Theta,Abs_Power_Gamma,Rel_Power_Theta,Rel_Power_Beta,Amplitude_Mean,Asymmetry_Mean,Asymmetry_Kurtosis
0.0497461135898437,0.4883968291237718,1.6211811080381875,1.6307569550601473,0.8468159326670327,1.444071883385685,0.0034812279834439,3.9370421636423456e-10,0.0143991784704861,0.0008088491771481,0.4475124404238281,0.0497461135898437,3.2238525277787944
-0.0803303068544921,0.5337702476047249,1.6201044269845777,1.629787789229054,0.7095409903356217,1.45571643330332,0.0189971395413437,3.871269995378659e-10,0.1096983040791941,0.0011938801529296,0.347247684053711,-0.0803303068544922,6.115292924049932
0.0192081441914062,0.5565907450146353,1.6243947998503248,1.6357839183674945,0.820225550146461,1.4758400520128792,0.0031751295072795,2.715638711255154e-10,0.0238711727355539,0.0013361397824705,0.3295378959570312,0.0192081441914062,3.852565539758999
-0.0167003916249999,0.5327333482099597,1.6300364267808454,1.634785115367957,0.9733063803487388,1.4460088162490567,0.0028026198938916,2.1383233514724155e-10,0.021730286982775,0.0014817095401725,0.2730634578574218,-0.016700391625,4.168005260045168
0.0152159029707031,0.5107426671937086,1.6275079866429951,1.630893132394055,0.7397635956743557,1.4547351831539856,0.0065264380939533,2.8436502607698976e-10,0.0343456462821785,0.0012365985427629,0.3262629972558593,0.0152159029707031,7.497453394746694
0.0028821421484375,0.5862201131556461,1.6098647449585408,1.6356263960308837,1.0320515221497708,1.5086169416376851,0.0037709366568912,4.2526378359241084e-10,0.0318953394751483,0.0019703469926007,0.2943062151738281,0.0028821421484375,3.0449176624333782
0.0145252548564453,0.4507605980936761,1.6301471422213507,1.6245796539288602,1.001113924183232,1.542156203385748,0.0029034652792536,5.04547309384575e-10,0.0233046789581185,0.0020437135019592,0.2648679754716797,0.0145252548564453,4.212130435545041
-0.0117292190966796,0.44913971023374,1.6351533234656157,1.6300742695050563,0.9171001208297136,1.5193370868465628,0.0028502774141887,5.319306385012963e-10,0.0179718448623931,0.0016174964702098,0.3153748608466797,-0.0117292190966796,3.3874886390816874
0.0141518087978515,0.5757087834281606,1.629640455956956,1.6303183704477002,0.9916060691005936,1.5103569452172858,0.0024926315610001,5.062092589569276e-10,0.0166876564821916,0.0020368854561725,0.3064330395693359,0.0141518087978515,3.069451802008344
-0.0591677829941406,0.4284177653733682,1.6284229601581344,1.6312996485992683,0.8350189051006869,1.4721781311359,0.0028271729507371,4.1005865027374117e-10,0.0194837707133313,0.0019982824582191,0.3071777578945313,-0.0591677829941406,3.1830088280350823
0.0644845560488281,0.2742583968870015,1.62621063599894,1.6263981834815346,0.5329656109108751,1.47411870824797,0.0048423318969415,1.258415547414577e-09,0.0229354690386598,0.001347427426887,0.4035960006445312,0.0644845560488281,20.95613758550289
-0.0274452719804687,0.1176665466353419,1.609608910915646,1.625833767559274,0.1280527509412009,1.427106436770374,0.0040315912060942,2.1011258273457768e-09,0.0024667394483285,0.0001744474148683,1.0322333394296876,-0.0274452719804687,9.367900067814272
-0.0041088787871093,0.5109864148585107,1.618872309027151,1.6231589816724512,0.8783010273314122,1.4941816815049145,0.0041920582664751,5.421870349584607e-10,0.0224137714702744,0.0017351576803293,0.3472578853164063,-0.0041088787871093,3.814171446916916
0.0089163939736328,0.3187100690758994,1.612581952285994,1.628343105312901,0.5992223623256073,1.4234292928360008,0.0100572033733534,9.716203624036466e-10,0.0194273641905877,0.0006268195978202,0.4777054372392578,0.0089163939736328,8.139744916433699
-0.0548503155263672,0.2737761202956431,1.605875614728602,1.631558778188376,0.570844851651836,1.4825469224494143,0.0049404803248285,7.715192965712498e-10,0.0212184547553072,0.0014872918631377,0.3597330515107422,-0.0548503155263671,6.7699403835167145
0.0390125048955078,0.5530130924056753,1.610891121845842,1.631401255851765,1.0286537000611993,1.5245790329339588,0.0036534929906279,8.467818497467205e-10,0.0187021479672659,0.001860637004464,0.3553515841279296,0.0390125048955078,3.2372173994076805
0.0364746869121093,0.4748876188867759,1.6261784341770906,1.6260537721369872,1.107320616559894,1.537661366475224,0.005532628442508,7.97601992040153e-10,0.0344181995816026,0.0020546392012455,0.3054094607773437,0.0364746869121093,3.4798672581556778
-0.030250923415039,0.5719657182783662,1.6067945083327504,1.6318803900185854,0.7231978247595005,1.4030414553234325,0.0248396470108532,1.1539651255489683e-09,0.0718377628489454,0.0009511575924193,0.4637804447236328,-0.030250923415039,6.948852234724974
-0.0100187570263671,0.4151601650302415,1.6254144415241432,1.6271099086404617,1.13370360847938,1.4662093057449526,0.0055609745741055,7.805066246150198e-10,0.0363661722929727,0.0022973248374524,0.2903738261923828,-0.0100187570263671,3.55045407336836
0.0116281045634765,0.3920170450468657,1.6153407448772448,1.6312497951167062,0.6483107286210282,1.513609105865778,0.0047681838848412,1.05012516876865e-09,0.0167095338710158,0.0014209813359804,0.4036998755068359,0.0116281045634765,5.913168675037199
0.1538650303964843,0.4170980158023117,1.616084104420843,1.631615691705348,0.5339294442260949,1.5142604705194254,0.0084329915283657,1.2557781323070803e-09,0.0152402258383821,0.0007035886391551,0.5956399656132813,0.1538650303964843,4.25274004443019
-0.1440119165078124,0.1279923488185468,1.5701763230632229,1.6306553478076509,0.183260680448611,1.3027138592097864,0.0053109919670776,2.281011029502048e-09,0.0013203348207813,9.204354572978844e-05,1.11669256190625,-0.1440119165078124,11.01720111046522
