timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.003068154,0.080916709,-0.129428298,-0.263440708,-0.24915175,Subject A,neutral
-0.003287484,-0.164337573,-0.208268819,-0.27433599,-0.465418282,Subject A,neutral
-0.003505418,-0.064541238,-0.237804112,-0.216870089,-0.570476536,Subject A,neutral
-0.003724945,0.275485366,-0.211198452,-0.131842693,-0.46654056,Subject A,neutral
-0.003947432,0.473395494,-0.157432285,-0.08032879,-0.274361409,Subject A,neutral
-0.004171917,0.379620656,-0.108381603,-0.080725029,-0.16668323,Subject A,neutral
-0.004397111,0.257838208,-0.074175187,-0.099180308,-0.143707752,Subject A,neutral
-0.004622834,0.410558731,-0.045078486,-0.10082993,-0.060920704,Subject A,neutral
-0.004849661,0.751055563,-0.008990492,-0.091713421,0.122385832,Subject A,neutral
-0.005077956,0.884592044,0.03384803,-0.099325025,0.227094401,Subject A,neutral
-0.005307551,0.606205794,0.067386786,-0.123461879,0.066628231,Subject A,neutral
-0.005538119,0.186031365,0.069964829,-0.126465429,-0.270521841,Subject A,neutral
-0.005769542,0.065430089,0.03584928,-0.078997397,-0.464770234,Subject A,neutral
-0.006001893,0.323881196,-0.008456899,-0.004626345,-0.324002431,Subject A,neutral
-0.006235234,0.582386448,-0.016739181,0.036434854,-0.007057845,Subject A,neutral
-0.006469509,0.476326238,0.035805916,0.012934486,0.185771462,Subject A,neutral
-0.00670461,0.106402301,0.121130575,-0.036979317,0.180525834,Subject A,neutral
-0.00694046,-0.105283625,0.177687872,-0.042683819,0.173284654,Subject A,neutral
-0.007177031,0.042255609,0.170316826,0.022095739,0.318842666,Subject A,neutral
-0.007414296,0.304645491,0.126712201,0.11155907,0.509161458,Subject A,neutral
-0.007652204,0.36425278,0.104159892,0.161015003,0.536320432,Subject A,neutral
-0.007890691,0.264510572,0.121948957,0.153853007,0.397479776,Subject A,neutral
-0.008129692,0.307708478,0.139806082,0.122696368,0.314986982,Subject A,neutral
-0.008369155,0.58285022,0.107446508,0.094427451,0.435589549,Subject A,neutral
-0.008609028,0.802025178,0.024878958,0.058837018,0.60728163,Subject A,neutral
-0.008849252,0.67713237,-0.054699369,0.00033603,0.547970024,Subject A,neutral
-0.009089763,0.315032487,-0.076866625,-0.058761533,0.216806802,Subject A,neutral
-0.009330498,0.092918277,-0.032533941,-0.071708638,-0.086957413,Subject A,neutral
-0.009571392,0.184733184,0.045791296,-0.026764878,-0.052927324,Subject A,neutral
-0.00981238,0.362292696,0.123137393,0.02638237,0.270827341,Subject A,neutral
-0.010053395,0.312592544,0.187838388,0.026607631,0.520072131,Subject A,neutral
-0.010294368,0.040907917,0.241121125,-0.026460692,0.41643361,Subject A,neutral
-0.010535226,-0.156666317,0.275853412,-0.067505256,0.050209526,Subject A,neutral
-0.0107759,-0.096072082,0.279219074,-0.039720645,-0.262016695,Subject A,neutral
-0.011016315,0.046072859,0.257704135,0.038324304,-0.339106866,Subject A,neutral
-0.011256398,-0.042403387,0.249156465,0.093757766,-0.295115414,Subject A,neutral
-0.011496073,-0.400388989,0.295821005,0.082014815,-0.356796454,Subject A,neutral
-0.011735262,-0.73016569,0.397752161,0.030813195,-0.589633628,Subject A,neutral
-0.011973888,-0.773279492,0.500434272,-0.002071666,-0.847631248,Subject A,neutral
-0.012211871,-0.649406173,0.543113696,0.003222565,-0.976867523,Subject A,neutral
-0.012449131,-0.709664393,0.521572942,0.019243821,-1.007988774,Subject A,neutral
-0.012685587,-1.077059325,0.491745049,0.021228451,-1.101940488,Subject A,neutral
-0.012921155,-1.477157942,0.505673102,0.022676056,-1.33959252,Subject A,neutral
-0.01315575,-1.606566975,0.551371307,0.050742604,-1.653369338,Subject A,neutral
-0.013389288,-1.558489193,0.563479363,0.099982279,-1.977913353,Subject A,neutral
-0.013621683,-1.703673548,0.492621347,0.13038793,-2.353798147,Subject A,neutral
-0.013852849,-2.155818162,0.360136838,0.114908409,-2.799249964,Subject A,neutral
-0.014082696,-2.570924987,0.241198763,0.074399575,-3.168674289,Subject A,neutral
-0.014311137,-2.610843316,0.193669046,0.052143727,-3.28246846,Subject A,neutral
-0.01453808,-2.450954145,0.208113147,0.059952535,-3.189674121,Subject A,neutral
-0.014763435,-2.591424973,0.230487696,0.068988678,-3.166481852,Subject A,neutral
-0.014987109,-3.184565679,0.224785894,0.059033501,-3.39365384,Subject A,neutral
-0.015209009,-3.790741445,0.200853114,0.054751419,-3.720419121,Subject A,neutral
-0.015429041,-3.909965096,0.18544464,0.090371801,-3.838119338,Subject A,neutral
-0.01564711,-3.588009586,0.186196698,0.147973893,-3.655910317,Subject A,neutral
-0.01586312,-3.313418209,0.192445461,0.162280187,-3.405985823,Subject A,neutral
-0.016076974,-3.378789408,0.196810479,0.098656105,-3.353591532,Subject A,neutral
-0.016288577,-3.552523167,0.20212958,0.005496383,-3.486434341,Subject A,neutral
-0.016497829,-3.442919081,0.214339233,-0.034161481,-3.56298149,Subject A,neutral
-0.016704633,-3.026708781,0.240223466,0.000404218,-3.426122417,Subject A,neutral
-0.01690889,-2.655792667,0.285837406,0.041533448,-3.173983119,Subject A,neutral
-0.0171105,-2.577695635,0.343924179,0.015142911,-3.0053865,Subject A,neutral
-0.017309362,-2.619816769,0.384916937,-0.066500983,-2.970308311,Subject A,neutral
-0.017505377,-2.440043192,0.371808427,-0.116241621,-2.925273185,Subject A,neutral
-0.017698445,-2.009742944,0.288269608,-0.075095711,-2.713932529,Subject A,neutral
-0.017888464,-1.701346026,0.154223805,0.020368245,-2.3520073,Subject A,neutral
-0.018075336,-1.842675145,0.021250407,0.08677243,-2.018043804,Subject A,neutral
-0.018258963,-2.270471622,-0.049060762,0.091394024,-1.858435443,Subject A,neutral
-0.018439247,-2.450360583,-0.022779937,0.075043366,-1.81701842,Subject A,neutral
-0.018616094,-2.058969736,0.074114507,0.08105028,-1.699389751,Subject A,neutral
-0.018789406,-1.342982304,0.170878522,0.092379349,-1.419064599,Subject A,neutral
-0.01895909,-0.817847726,0.215810485,0.060333107,-1.1183418,Subject A,neutral
-0.019125054,-0.675964903,0.220776859,-0.0183002,-0.982627258,Subject A,neutral
-0.019287204,-0.631217217,0.229701895,-0.083486023,-0.975042391,Subject A,neutral
-0.019445452,-0.361861911,0.251390319,-0.080156501,-0.855297969,Subject A,neutral
-0.01959971,0.052876928,0.246788653,-0.022278343,-0.480768661,Subject A,neutral
-0.019749889,0.272758515,0.185353121,0.030572466,-0.002063412,Subject A,neutral
-0.019895905,0.197334246,0.088667632,0.047927743,0.304860169,Subject A,neutral
-0.020037674,0.131165765,0.001180693,0.054388017,0.356215323,Subject A,neutral
-0.020175115,0.383046527,-0.065522361,0.082547456,0.329264978,Subject A,neutral
-0.020308149,0.839204183,-0.134791796,0.126209414,0.415139143,Subject A,neutral
-0.020436698,1.087500599,-0.216455388,0.152776661,0.58750769,Subject A,neutral
-0.020560687,0.937425535,-0.282503743,0.146717842,0.672548416,Subject A,neutral
-0.020680042,0.655705871,-0.302312794,0.123877794,0.595332525,Subject A,neutral
-0.020794691,0.606193886,-0.288812253,0.106352875,0.461458831,Subject A,neutral
-0.020904565,0.76512081,-0.293496603,0.09746719,0.389338861,Subject A,neutral
-0.021009597,0.755926517,-0.353443227,0.08630656,0.357497558,Subject A,neutral
-0.021109719,0.369408085,-0.451119869,0.068780668,0.280899528,Subject A,neutral
-0.021204868,-0.113904131,-0.530979815,0.05449811,0.179804739,Subject A,neutral
-0.021294983,-0.235988414,-0.54986238,0.050910205,0.176044893,Subject A,neutral
-0.021380001,0.082512603,-0.505342759,0.046732169,0.319633885,Subject A,neutral
-0.021459863,0.451602143,-0.424542865,0.01921104,0.506611309,Subject A,neutral
-0.021534513,0.493431274,-0.342045177,-0.039439727,0.618881093,Subject A,neutral
-0.021603893,0.278813096,-0.285746402,-0.107806193,0.690744046,Subject A,neutral
-0.021667949,0.18839814,-0.262288385,-0.153186632,0.85682209,Subject A,neutral
-0.021726626,0.416466346,-0.248051284,-0.162807944,1.13811387,Subject A,neutral
-0.021779872,0.75968733,-0.210780964,-0.152569591,1.35897692,Subject A,neutral
-0.021827634,0.921905739,-0.152659436,-0.145605316,1.332685724,Subject A,neutral
-0.021869862,0.899902608,-0.121901934,-0.149226364,1.106046065,Subject A,neutral
-0.021906506,0.951107026,-0.166643858,-0.156184377,0.958019413,Subject A,neutral
-0.021937519,1.217666039,-0.278010802,-0.161550654,1.127041788,Subject A,neutral
-0.021962854,1.523499075,-0.388888493,-0.168146113,1.563471933,Subject A,neutral
-0.021982465,1.611558188,-0.431535897,-0.174068664,1.983730901,Subject A,neutral
-0.021996307,1.493696705,-0.392555725,-0.165042743,2.161929708,Subject A,neutral
-0.022004338,1.435461995,-0.314838656,-0.130266445,2.133792093,Subject A,neutral
-0.022006514,1.592573316,-0.255775293,-0.085359185,2.104937442,Subject A,neutral
-0.022002798,1.792031079,-0.243785608,-0.067447248,2.197337169,Subject A,neutral
