timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
0.000377199,0.143927975,-0.065171887,0.06349752,0.401348783,Subject B,neutral
0.000344447,-0.144278835,-0.098431886,-0.000861977,0.092462593,Subject B,neutral
0.000310581,-0.231631575,-0.134618709,-0.010106694,-0.213657236,Subject B,neutral
0.000275629,-0.037939021,-0.100619586,0.032742516,-0.284813175,Subject B,neutral
0.000239622,0.141187115,-0.01195395,0.079580845,-0.160199314,Subject B,neutral
0.000202587,0.04405075,0.037702098,0.088031431,-0.088877473,Subject B,neutral
0.000164558,-0.20343033,-0.011826684,0.060570335,-0.215100619,Subject B,neutral
0.000125564,-0.266123439,-0.114302117,0.032512377,-0.40950684,Subject B,neutral
8.56e-05,-0.060971086,-0.172551129,0.030127608,-0.443843263,Subject B,neutral
4.48e-05,0.130833578,-0.152465505,0.048651341,-0.269893131,Subject B,neutral
3.12e-06,0.052665036,-0.1159826,0.070074073,-0.056789877,Subject B,neutral
-3.94e-05,-0.169017015,-0.137564393,0.092087395,0.033537668,Subject B,neutral
-8.27e-05,-0.184746718,-0.214071867,0.128447911,0.030247052,Subject B,neutral
-0.000126844,0.108114114,-0.278467136,0.180985523,0.070982475,Subject B,neutral
-0.000171693,0.407506768,-0.288831004,0.224858734,0.188626914,Subject B,neutral
-0.000217257,0.379583208,-0.274132369,0.232872084,0.273282115,Subject B,neutral
-0.000263509,0.093395579,-0.28682819,0.208650654,0.261957528,Subject B,neutral
-0.000310425,-0.046170166,-0.334389317,0.18283612,0.273608322,Subject B,neutral
-0.000357979,0.196757091,-0.376939617,0.17808803,0.466249069,Subject B,neutral
-0.00040615,0.577629515,-0.380787465,0.191528348,0.786558266,Subject B,neutral
-0.000454914,0.659697404,-0.349453723,0.212149734,0.968714539,Subject B,neutral
-0.000504254,0.352457443,-0.302611609,0.236745225,0.833398847,Subject B,neutral
-0.000554151,0.025978291,-0.250489066,0.257639627,0.526428585,Subject B,neutral
-0.000604588,0.058524817,-0.198090482,0.249926521,0.378700998,Subject B,neutral
-0.00065555,0.385723294,-0.152287044,0.193006595,0.536924553,Subject B,neutral
-0.000707024,0.605062252,-0.109745412,0.105895929,0.806856329,Subject B,neutral
-0.000758996,0.483013416,-0.054328838,0.043601562,0.888153232,Subject B,neutral
-0.000811452,0.219348104,0.017332244,0.047095778,0.704540962,Subject B,neutral
-0.00086438,0.15657721,0.080936697,0.102666322,0.443996757,Subject B,neutral
-0.000917766,0.336510656,0.112221844,0.158496839,0.302724212,Subject B,neutral
-0.000971596,0.479712833,0.117562263,0.175721567,0.273258737,Subject B,neutral
-0.001025858,0.386576109,0.116447501,0.153518194,0.216503667,Subject B,neutral
-0.001080539,0.204480583,0.103183173,0.109817485,0.081214762,Subject B,neutral
-0.001135626,0.207410828,0.054013324,0.055858094,-0.029183487,Subject B,neutral
-0.001191109,0.404155727,-0.024546859,-0.001479903,-0.015148824,Subject B,neutral
-0.001246979,0.517931694,-0.079030784,-0.042537501,0.063757059,Subject B,neutral
-0.001303228,0.36724217,-0.054689694,-0.036134956,0.056124913,Subject B,neutral
-0.001359848,0.127142572,0.05147788,0.034665057,-0.071539679,Subject B,neutral
-0.001416834,0.105317719,0.1878583,0.150701226,-0.162198549,Subject B,neutral
-0.001474182,0.32384148,0.285533554,0.266129882,-0.046318066,Subject B,neutral
-0.001531889,0.47545597,0.296170508,0.340129659,0.244099012,Subject B,neutral
-0.001589953,0.332303547,0.216671737,0.356422394,0.501804888,Subject B,neutral
-0.001648374,0.064115899,0.096487175,0.317561397,0.585263206,Subject B,neutral
-0.001707153,0.019371015,0.010092701,0.235867292,0.567142295,Subject B,neutral
-0.001766295,0.243765448,0.000904965,0.135316643,0.601117655,Subject B,neutral
-0.001825804,0.392124674,0.049722206,0.04772139,0.692332999,Subject B,neutral
-0.001885688,0.181505676,0.104579231,-0.00650051,0.686188379,Subject B,neutral
-0.001945956,-0.208968939,0.133067486,-0.030669577,0.491952688,Subject B,neutral
-0.00200662,-0.344193453,0.134805764,-0.040802736,0.236937537,Subject B,neutral
-0.002067692,-0.094368086,0.117439501,-0.048792424,0.139457805,Subject B,neutral
-0.002129184,0.188742093,0.087245365,-0.058418941,0.261063005,Subject B,neutral
-0.002191112,0.120897252,0.064240942,-0.066184833,0.45007582,Subject B,neutral
-0.002253489,-0.228230649,0.081819342,-0.059195336,0.533620476,Subject B,neutral
-0.002316333,-0.443521681,0.155910351,-0.022958329,0.503075924,Subject B,neutral
-0.002379659,-0.306570537,0.258864545,0.037832567,0.470630118,Subject B,neutral
-0.002443485,-0.051726034,0.330045121,0.093297006,0.487628256,Subject B,neutral
-0.002507827,-0.02328047,0.316863943,0.117305652,0.481595656,Subject B,neutral
-0.002572705,-0.216535205,0.217558158,0.123298774,0.379769829,Subject B,neutral
-0.002638135,-0.308938806,0.092734746,0.158371112,0.224640681,Subject B,neutral
-0.002704136,-0.115322884,0.026894185,0.25135109,0.115133156,Subject B,neutral
-0.002770728,0.150524076,0.065287329,0.370504046,0.067554028,Subject B,neutral
-0.002837931,0.148899129,0.183321636,0.446165431,0.005213817,Subject B,neutral
-0.002905765,-0.14644755,0.312322717,0.442566575,-0.105708791,Subject B,neutral
-0.002974249,-0.418291768,0.388144918,0.398803439,-0.177155811,Subject B,neutral
-0.003043405,-0.414277386,0.383059953,0.385953971,-0.109157319,Subject B,neutral
-0.003113252,-0.251796228,0.311699143,0.426076383,0.049137065,Subject B,neutral
-0.003183811,-0.228153239,0.215535744,0.468992263,0.114598435,Subject B,neutral
-0.003255099,-0.406745265,0.13427657,0.453323225,-0.033978552,Subject B,neutral
-0.003327139,-0.540017114,0.084091758,0.374853765,-0.313129937,Subject B,neutral
-0.003399948,-0.426170887,0.058179001,0.2830446,-0.521440591,Subject B,neutral
-0.003473547,-0.207380938,0.041082559,0.222002815,-0.554565052,Subject B,neutral
-0.003547955,-0.194711212,0.020849158,0.19346369,-0.495723821,Subject B,neutral
-0.003623191,-0.446039393,-0.002845522,0.176286362,-0.484799386,Subject B,neutral
-0.003699274,-0.669982153,-0.015229229,0.162632702,-0.540671046,Subject B,neutral
-0.003776223,-0.604586932,0.001829208,0.160900253,-0.563649207,Subject B,neutral
-0.003854058,-0.374709884,0.046346191,0.168900389,-0.505646921,Subject B,neutral
-0.003932798,-0.33779993,0.089289022,0.163109956,-0.467093182,Subject B,neutral
-0.004012462,-0.603917971,0.098906268,0.127280323,-0.57237778,Subject B,neutral
-0.004093069,-0.866280705,0.070221894,0.08429285,-0.782932694,Subject B,neutral
-0.004174639,-0.784875792,0.026447578,0.080415721,-0.912299545,Subject B,neutral
-0.004257188,-0.434200931,-0.005720159,0.131306789,-0.846618914,Subject B,neutral
-0.004340735,-0.225701042,-0.018442604,0.197795908,-0.687703671,Subject B,neutral
-0.004425296,-0.392947207,-0.023764008,0.228981933,-0.62338236,Subject B,neutral
-0.004510888,-0.703648513,-0.03761939,0.221555684,-0.691826137,Subject B,neutral
-0.004597525,-0.775821162,-0.063516241,0.217800455,-0.756733315,Subject B,neutral
-0.004685222,-0.589051328,-0.091547024,0.244973851,-0.73049792,Subject B,neutral
-0.004773994,-0.521001887,-0.114395498,0.279834463,-0.735302477,Subject B,neutral
-0.004863852,-0.850493101,-0.14017867,0.286331361,-0.953454632,Subject B,neutral
-0.004954807,-1.366637287,-0.180098375,0.268391405,-1.340667015,Subject B,neutral
-0.005046871,-1.605706675,-0.222028855,0.258454449,-1.60939335,Subject B,neutral
-0.005140054,-1.435555696,-0.228637995,0.259499759,-1.570566709,Subject B,neutral
-0.005234366,-1.237529162,-0.174134044,0.229929473,-1.413281556,Subject B,neutral
-0.005329817,-1.430579272,-0.082021173,0.1406242,-1.514662024,Subject B,neutral
-0.005426415,-1.941158725,-0.015685332,0.029075583,-1.980291571,Subject B,neutral
-0.005524168,-2.310983986,-0.023118661,-0.025932758,-2.509600285,Subject B,neutral
-0.005623085,-2.29410539,-0.090431868,0.01608183,-2.765593283,Subject B,neutral
-0.005723169,-2.145613522,-0.153776566,0.117977356,-2.76171016,Subject B,neutral
-0.005824429,-2.238566321,-0.159528975,0.210292922,-2.788463717,Subject B,neutral
-0.005926868,-2.556153781,-0.111635368,0.262207795,-3.023900217,Subject B,neutral
-0.006030493,-2.743865768,-0.058087367,0.29406978,-3.332506452,Subject B,neutral
-0.006135306,-2.627108519,-0.033758079,0.328700425,-3.467470237,Subject B,neutral
-0.006241311,-2.485166163,-0.023995415,0.354040283,-3.405607388,Subject B,neutral
-0.006348507,-2.708786015,0.010973344,0.341702446,-3.409352115,Subject B,neutral
-0.006456895,-3.278865308,0.079949669,0.286637023,-3.723262911,Subject B,neutral
-0.006566475,-3.748783801,0.138963638,0.215146302,-4.253562283,Subject B,neutral
-0.006677245,-3.783343936,0.133730582,0.159696443,-4.64927001,Subject B,neutral
-0.006789197,-3.581804057,0.064266927,0.135697529,-4.725278371,Subject B,neutral
-0.006902322,-3.626692039,-0.002207048,0.139372987,-4.691081666,Subject B,neutral
-0.007016615,-4.058323856,0.006642485,0.157306044,-4.866712755,Subject B,neutral
-0.007132072,-4.482064473,0.09477985,0.174331849,-5.255117798,Subject B,neutral
-0.007248682,-4.469965894,0.196862335,0.177554198,-5.541531317,Subject B,neutral
-0.007366425,-4.107878099,0.250496859,0.159489606,-5.503763315,Subject B,neutral
-0.007485271,-3.877212201,0.253494415,0.121468303,-5.272011421,Subject B,neutral
-0.007605205,-4.039070544,0.241547179,0.07564782,-5.120863281,Subject B,neutral
-0.007726235,-4.329645219,0.22835454,0.041161328,-5.119683095,Subject B,neutral
-0.00784836,-4.335606702,0.194205315,0.031792562,-5.109740031,Subject B,neutral
-0.007971533,-4.020509628,0.132545051,0.04384315,-4.981025153,Subject B,neutral
-0.008095673,-3.719485301,0.07890882,0.059246107,-4.82101742,Subject B,neutral
-0.008220751,-3.662470617,0.073263013,0.063298584,-4.738218763,Subject B,neutral
-0.008346851,-3.692781452,0.105273628,0.055081401,-4.656969746,Subject B,neutral
-0.00847407,-3.532092646,0.12185466,0.035848532,-4.413426265,Subject B,neutral
-0.00860231,-3.18305562,0.093376037,-0.006807015,-4.013636932,Subject B,neutral
-0.008731264,-2.900374036,0.052465282,-0.089291472,-3.653698796,Subject B,neutral
-0.008860784,-2.792571588,0.053145029,-0.201644947,-3.453624197,Subject B,neutral
-0.00899125,-2.644911493,0.104430873,-0.299492704,-3.291801775,Subject B,neutral
-0.009123254,-2.239465764,0.164859604,-0.339956032,-2.986664755,Subject B,neutral
-0.00925663,-1.728711296,0.198560986,-0.320241771,-2.568487117,Subject B,neutral
-0.009390103,-1.505009639,0.212565472,-0.267678903,-2.256003587,Subject B,neutral
-0.009522723,-1.685318624,0.231119686,-0.19910664,-2.165160267,Subject B,neutral
-0.00965587,-1.888852497,0.253795192,-0.113430447,-2.135454843,Subject B,neutral
-0.009792542,-1.647199294,0.255896722,-0.02751306,-1.894027777,Subject B,neutral
-0.009933028,-0.964525347,0.221010238,0.0083865,-1.348982537,Subject B,neutral
-0.010072086,-0.317340805,0.158973321,-0.043342618,-0.668769684,Subject B,neutral
-0.010204138,-0.075894484,0.09529306,-0.151316426,-0.084058278,Subject B,neutral
-0.01033344,-0.068383453,0.050943265,-0.22787864,0.341881935,Subject B,neutral
-0.010474464,0.166541583,0.027740982,-0.209117001,0.732166946,Subject B,neutral
-0.01063356,0.773285544,0.006827168,-0.115749837,1.214919506,Subject B,neutral
-0.010788961,1.4005113,-0.032799689,-0.028958892,1.755698426,Subject B,neutral
-0.010900245,1.665642163,-0.086958215,-0.011241894,2.18658278,Subject B,neutral
-0.0109493,1.646798176,-0.123521939,-0.057198979,2.398519639,Subject B,neutral
-0.010968887,1.770949754,-0.117348361,-0.118251388,2.478741318,Subject B,neutral
-0.011018876,2.257936144,-0.084534428,-0.16410483,2.624513593,Subject B,neutral
-0.011132025,2.838200383,-0.068715721,-0.209501133,2.921440005,Subject B,neutral
-0.011290221,3.097600647,-0.091423502,-0.278993268,3.252209935,Subject B,neutral
-0.011453043,3.003957962,-0.129513696,-0.357551822,3.455028861,Subject B,neutral
-0.011598717,2.940622057,-0.149677765,-0.395585308,3.528190707,Subject B,neutral
-0.011733592,3.200697911,-0.153260364,-0.369335872,3.607220311,Subject B,neutral
-0.011872133,3.597660165,-0.170596532,-0.318609893,3.754636808,Subject B,neutral
-0.012018593,3.710838295,-0.21375344,-0.304299907,3.872649311,Subject B,neutral
-0.012167388,3.450810824,-0.252441459,-0.334630291,3.869150593,Subject B,neutral
-0.01231327,3.190494325,-0.244404065,-0.357916849,3.826140227,Subject B,neutral
-0.012456523,3.274736304,-0.180998734,-0.334629194,3.903244291,Subject B,neutral
