timestamps,TP9,AF7,AF8,TP10,Subject,Emotion
-0.017598432,-0.053245945,-0.097343294,-0.387175372,-0.483299301,Subject C,neutral
-0.018153392,0.136111866,-0.036002468,-0.248415066,-0.508927513,Subject C,neutral
-0.018703956,0.41313538,-0.01758374,-0.063656406,-0.244628074,Subject C,neutral
-0.019251354,0.404089893,-0.058258994,0.037879641,0.066936468,Subject C,neutral
-0.019798439,0.093351396,-0.106263999,0.001276599,0.179640667,Subject C,neutral
-0.020345361,-0.137279614,-0.107216056,-0.083953554,0.1271128,Subject C,neutral
-0.020886737,-0.024012326,-0.068560527,-0.08473661,0.108795844,Subject C,neutral
-0.021416851,0.195622145,-0.039619791,0.023698491,0.174971116,Subject C,neutral
-0.021939825,0.095188605,-0.039650667,0.140783174,0.175575074,Subject C,neutral
-0.022470001,-0.303874359,-0.032145573,0.169275036,0.044459587,Subject C,neutral
-0.0230136,-0.453187001,0.022447511,0.123983281,-0.012728734,Subject C,neutral
-0.02354873,0.040695876,0.104350593,0.093839837,0.244348426,Subject C,neutral
-0.024034848,0.816188313,0.140449707,0.115389922,0.704520894,Subject C,neutral
-0.024453724,1.079002252,0.076877712,0.122012746,0.922646291,Subject C,neutral
-0.024837999,0.532656324,-0.056034854,0.040885893,0.604499192,Subject C,neutral
-0.025247431,-0.23628854,-0.157052842,-0.082024134,-0.018557159,Subject C,neutral
-0.025714667,-0.437242074,-0.142681547,-0.106372557,-0.413061821,Subject C,neutral
-0.026221485,0.007941737,-0.029737098,0.031691303,-0.3147701,Subject C,neutral
-0.026727356,0.442376292,0.073230424,0.213705491,0.026456574,Subject C,neutral
-0.027210407,0.332475957,0.063222715,0.25296569,0.181464987,Subject C,neutral
-0.027676886,-0.102842995,-0.065822551,0.105796764,0.0168032,Subject C,neutral
-0.028141164,-0.250801318,-0.22569472,-0.076892878,-0.239785361,Subject C,neutral
-0.028607401,0.073656841,-0.319123736,-0.119682989,-0.353720518,Subject C,neutral
-0.029069923,0.408345937,-0.316238988,-0.007612247,-0.376300265,Subject C,neutral
-0.029523393,0.258385598,-0.256086222,0.122135111,-0.519519247,Subject C,neutral
-0.02996801,-0.286465362,-0.194620444,0.145967274,-0.807161464,Subject C,neutral
-0.030406682,-0.703683311,-0.163048118,0.070379629,-0.9828198,Subject C,neutral
-0.030840697,-0.702610943,-0.163422195,-0.013666645,-0.817547014,Subject C,neutral
-0.031269019,-0.516755853,-0.180240403,-0.044674583,-0.422514753,Subject C,neutral
-0.031690287,-0.488400741,-0.188887124,-0.028564869,-0.141091278,Subject C,neutral
-0.032104253,-0.561616923,-0.167793125,0.00748499,-0.137647545,Subject C,neutral
-0.032511428,-0.387136454,-0.117043295,0.04950899,-0.211443749,Subject C,neutral
-0.032912113,0.121940956,-0.062034537,0.080635635,-0.081110657,Subject C,neutral
-0.033306081,0.577459443,-0.027960276,0.068333946,0.233861537,Subject C,neutral
-0.033692951,0.577882419,-0.010453141,-0.004449195,0.439173329,Subject C,neutral
-0.03407255,0.239875756,0.017988626,-0.099872901,0.361508758,Subject C,neutral
-0.034444902,0.066487343,0.067321341,-0.138019225,0.180813063,Subject C,neutral
-0.034810019,0.298306568,0.105483141,-0.069477186,0.186821689,Subject C,neutral
-0.035167802,0.60387149,0.089415449,0.060696311,0.391598937,Subject C,neutral
-0.035518104,0.529723343,0.022776176,0.140506425,0.522965083,Subject C,neutral
-0.035860812,0.116093867,-0.031150721,0.100841604,0.403901431,Subject C,neutral
-0.036195863,-0.144109057,-0.007274723,-0.011323543,0.201126614,Subject C,neutral
-0.036523204,0.049541324,0.092566539,-0.087594973,0.207180006,Subject C,neutral
-0.036842758,0.416064423,0.197478008,-0.07673206,0.450688344,Subject C,neutral
-0.037154435,0.475949984,0.235067896,-0.022318326,0.658385888,Subject C,neutral
-0.037458153,0.187828395,0.197696519,0.017223628,0.617950668,Subject C,neutral
-0.037753842,-0.012296698,0.144628455,0.049939512,0.453390623,Subject C,neutral
-0.038041437,0.186780318,0.144437081,0.122321041,0.445289153,Subject C,neutral
-0.038320871,0.539081277,0.213069968,0.225025041,0.641329235,Subject C,neutral
-0.038592075,0.556105445,0.300514835,0.271438493,0.78340609,Subject C,neutral
-0.038854984,0.153327048,0.335733269,0.195024193,0.651805473,Subject C,neutral
-0.039109538,-0.222992919,0.289462515,0.045989053,0.364649122,Subject C,neutral
-0.039355678,-0.163657326,0.19628389,-0.047507909,0.224165534,Subject C,neutral
-0.039593348,0.169447644,0.114331107,-0.019616157,0.306791232,Subject C,neutral
-0.03982249,0.237854266,0.066735905,0.063150483,0.347480655,Subject C,neutral
-0.040043048,-0.190593685,0.031210623,0.091646546,0.087317643,Subject C,neutral
-0.040254968,-0.747008402,-0.013885479,0.047871503,-0.36547676,Subject C,neutral
-0.040458196,-0.931555582,-0.050816176,0.007816571,-0.640139173,Subject C,neutral
-0.040652681,-0.727886453,-0.043545925,0.014066964,-0.545676367,Subject C,neutral
-0.040838374,-0.56350037,0.012296958,0.001552834,-0.283765515,Subject C,neutral
-0.041015225,-0.698465161,0.080904111,-0.107934355,-0.168860955,Subject C,neutral
-0.041183185,-0.880947562,0.129193935,-0.268321597,-0.228677098,Subject C,neutral
-0.041342208,-0.727854654,0.159684979,-0.332694733,-0.199629507,Subject C,neutral
-0.041492248,-0.299354986,0.192070165,-0.227942118,0.086369611,Subject C,neutral
-0.041633262,-0.07089003,0.227584049,-0.055149587,0.432715803,Subject C,neutral
-0.041765209,-0.313792338,0.246325661,0.021027092,0.490270376,Subject C,neutral
-0.041888048,-0.700152735,0.231982508,-0.044538163,0.197020318,Subject C,neutral
-0.042001742,-0.681459923,0.186948734,-0.147912596,-0.123626705,Subject C,neutral
-0.042106253,-0.186361957,0.129556569,-0.179855106,-0.160232509,Subject C,neutral
-0.042201545,0.25641019,0.085726815,-0.149122776,-0.00752989,Subject C,neutral
-0.042287585,0.152189257,0.07198711,-0.139962103,-0.022473031,Subject C,neutral
-0.04236434,-0.34869939,0.072781182,-0.180596783,-0.300139042,Subject C,neutral
-0.04243178,-0.626052464,0.046237804,-0.203933565,-0.472254572,Subject C,neutral
-0.042489877,-0.336777928,-0.027703575,-0.149318474,-0.157847474,Subject C,neutral
-0.042538605,0.185441864,-0.110456604,-0.063288315,0.474711971,Subject C,neutral
-0.04257794,0.355494381,-0.135870612,-0.054300706,0.793187031,Subject C,neutral
-0.042607863,0.0392093,-0.079403892,-0.151175108,0.401828261,Subject C,neutral
-0.042628354,-0.341800104,0.016273391,-0.253765746,-0.388646231,Subject C,neutral
-0.042639398,-0.398295466,0.082886401,-0.251539625,-0.915067198,Subject C,neutral
-0.042640982,-0.260002971,0.080622458,-0.162531441,-0.902714474,Subject C,neutral
-0.042633094,-0.32350688,0.014156925,-0.113053784,-0.682156486,Subject C,neutral
-0.042615726,-0.633301042,-0.083121658,-0.182804453,-0.670243794,Subject C,neutral
-0.042588872,-0.773890097,-0.16833552,-0.310118151,-0.83664294,Subject C,neutral
-0.042552529,-0.443232334,-0.205647407,-0.372230193,-0.825874813,Subject C,neutral
-0.042506698,0.085631718,-0.185532255,-0.334758903,-0.49921489,Subject C,neutral
-0.042451382,0.279693324,-0.134154131,-0.281624211,-0.138904135,Subject C,neutral
-0.042386587,0.036047186,-0.09327227,-0.293026847,-0.067434824,Subject C,neutral
-0.042312321,-0.18898325,-0.081574992,-0.335137862,-0.22882465,Subject C,neutral
-0.042228596,-0.000321118,-0.078392657,-0.305994872,-0.293126676,Subject C,neutral
-0.042135425,0.393849426,-0.051915191,-0.172668637,-0.116009277,Subject C,neutral
-0.042032827,0.450823902,-0.002108923,-0.016675333,0.077099712,Subject C,neutral
-0.041920821,0.02224256,0.032604652,0.065717673,0.013588578,Subject C,neutral
-0.041799432,-0.424658962,0.016440483,0.068679729,-0.250720345,Subject C,neutral
-0.041668685,-0.389143095,-0.040063783,0.054437381,-0.407111,Subject C,neutral
-0.041528612,0.041505706,-0.085868036,0.053164176,-0.305770588,Subject C,neutral
-0.041379246,0.333836347,-0.08171365,0.032974017,-0.148057914,Subject C,neutral
-0.041220622,0.200004363,-0.040253076,-0.026613977,-0.210914373,Subject C,neutral
-0.041052781,-0.081070607,-0.007617598,-0.078770099,-0.475785283,Subject C,neutral
-0.040875765,-0.10655109,-0.009839538,-0.064668181,-0.650335478,Subject C,neutral
-0.040689622,0.078697756,-0.028437573,-0.003782333,-0.550312452,Subject C,neutral
-0.040494401,0.065279774,-0.027773232,0.021019772,-0.339161512,Subject C,neutral
-0.040290156,-0.311266617,0.007435843,-0.023196479,-0.313026215,Subject C,neutral
