Time (s),Channel 1 (V),Channel 2 (V)
1.6491,4.9853,0.0098
1.6521,4.9853,0.0098
1.656,4.9853,0.0098
1.661,4.9853,0.0098
1.6643,4.9707,0.0098
1.6684,4.9756,0.0049
1.6717,4.9804,0.0098
1.6758,4.9804,0.0098
1.6791,4.9853,0.0098
1.6843,4.9853,0.0098
1.6876,4.9756,0.0196
1.6932,4.9853,0.0098
1.6952,4.9853,0.0098
1.6998,4.9804,0.0098
1.703,4.9804,0.0098
1.7075,4.9707,0.0098
1.711,4.9804,0.0098
1.7154,4.9853,0.0098
1.7184,4.9853,0.0098
1.7235,4.9804,0.0098
1.7275,4.9707,0.0098
1.7309,4.9804,0.0098
1.734,4.9804,0.0098
1.7381,4.9804,0.0098
1.7427,4.9804,0.0098
1.7462,4.9658,0.0098
1.7507,4.9853,0.0098
1.7544,4.9853,0.0
1.7577,4.9853,0.0098
1.7618,4.9853,0.0098
1.7662,4.9658,0.0098
1.7694,4.9853,0.0098
1.773,4.9853,0.0147
1.7775,4.9804,0.0098
1.7808,4.9804,0.0098
1.7852,4.9658,0.0147
1.7896,4.9756,0.0098
1.7936,4.9853,0.0098
1.7978,4.9853,0.0098
1.8009,4.9804,0.0098
1.8052,4.9658,0.0147
1.8093,4.9804,0.0098
1.8132,4.9853,0.0098
1.8163,4.9853,0.0098
1.8206,4.9853,0.0098
1.8249,4.956,0.0147
1.8282,4.9853,0.0147
1.8322,4.9902,0.0098
1.8355,4.9804,0.0098
1.84,4.9853,0.0147
1.844,4.9804,0.0098
1.848,4.9804,0.0098
1.8514,4.9804,0.0098
1.855,4.9804,0.0147
1.8598,4.9804,0.0098
1.864,4.9853,0.0049
1.8671,4.9756,0.0098
1.8713,4.9853,0.0098
1.8756,4.9756,0.0098
1.8787,4.9804,0.0098
1.8832,4.9804,0.0147
1.8866,4.9707,0.0147
1.8911,4.9853,0.0147
1.8952,4.9804,0.0147
1.8992,4.9804,0.0098
1.9023,4.9853,0.0147
1.9069,4.9707,0.0147
1.9105,4.9804,0.0147
1.9141,4.9853,0.0098
1.9181,4.9853,0.0147
1.9223,4.9804,0.0147
1.9258,4.9658,0.0098
1.9294,4.9804,0.0147
1.9345,4.9853,0.0098
1.9375,4.9804,0.0147
1.9415,4.9804,0.0147
1.9455,4.9658,0.0147
1.9495,4.9853,0.0098
1.9535,4.9853,0.0147
1.9575,4.9804,0.0147
1.9615,4.9853,0.0147
1.9648,4.9707,0.0147
1.9688,4.9853,0.0147
1.9728,4.9804,0.0098
1.9768,4.9804,0.0147
1.9808,4.9804,0.0098
1.9843,4.9609,0.0098
1.9883,4.9804,0.0147
1.9923,4.9804,0.0147
1.9963,4.9853,0.0147
2.0003,4.9853,0.0147
2.0037,4.9804,0.0147
2.0077,4.9756,0.0147
2.0123,4.9853,0.0147
2.0163,4.9804,0.0147
2.0196,4.9853,0.0147
2.0236,4.9853,0.0147
2.0276,4.9756,0.0147
2.0316,4.9804,0.0147
2.0356,4.9853,0.0147
2.0398,4.9804,0.0147
2.0438,4.9804,0.0147
2.0472,4.9707,0.0147
2.0512,4.9804,0.0147
2.0551,4.9853,0.0147
2.0601,4.9804,0.0147
2.0633,4.9804,0.0147
2.0669,4.9707,0.0147
2.0702,4.9804,0.0049
2.0753,4.9804,0.0147
2.0776,4.9853,0.0147
2.0824,4.9804,0.0147
2.0864,4.9609,0.0147
2.0896,4.9853,0.0147
2.0944,4.9853,0.0147
2.0985,4.9853,0.0147
2.1018,4.9804,0.0147
2.1058,0.0342,0.0147
2.1097,4.9853,0.0147
2.1137,4.9804,0.0147
2.1179,4.9853,0.0147
2.1209,4.9853,0.0147
2.1255,0.0293,0.0147
2.1297,4.9853,0.0147
2.1327,4.9853,0.0147
2.1371,4.9853,0.0147
2.1405,4.9853,0.0147
2.1449,0.0244,0.0147
2.1489,4.9804,0.0147
2.153,4.9804,0.0147
2.1561,4.9804,0.0147
2.1605,4.9853,0.0147
2.1649,4.9804,0.0196
2.1686,4.9658,0.0147
2.172,4.9804,0.0147
2.176,4.9804,0.0147
2.1806,4.9804,0.0147
2.1842,4.9853,0.0147
2.1877,2.2874,0.0147
2.1922,4.9804,0.0147
2.1957,4.9804,0.0147
2.1992,4.9804,0.0147
2.2038,4.9804,0.0147
2.2071,0.0342,0.0147
2.2116,4.9853,0.0147
2.2162,4.9853,0.0147
2.2184,4.9853,0.0147
2.2228,4.9804,0.0147
2.2269,0.0293,0.0147
2.2303,4.9804,0.0147
2.2349,4.9853,0.0196
2.239,4.9804,0.0147
2.2429,4.9804,0.0147
2.2465,0.0244,0.0147
2.2505,4.9804,0.0147
2.2545,4.9804,0.0147
2.2579,4.9804,0.0147
2.2619,4.9853,0.0147
2.2662,0.0244,0.0147
2.2696,4.9804,0.0147
2.2736,4.9804,0.0147
2.2776,4.9853,0.0147
2.2817,4.9804,0.0147
2.2858,0.0293,0.0147
2.2893,4.9804,0.0147
2.2934,4.9804,0.0147
2.2978,4.9804,0.0147
2.301,4.9804,0.0147
2.3051,0.1026,0.0147
2.3088,4.9804,0.0196
2.3133,4.9804,0.0147
2.3163,4.9853,0.0147
2.3207,4.9853,0.0196
2.3243,4.9707,0.0147
2.328,4.9804,0.0196
2.3323,4.9804,0.0147
2.3364,4.9804,0.0147
2.3404,4.9804,0.0196
2.3446,4.9804,0.0196
2.3483,4.9756,0.0293
2.3523,4.9804,0.0147
2.3554,4.9804,0.0196
2.3605,4.9804,0.0196
2.3642,4.9804,0.0196
2.3672,4.9658,0.0196
2.3708,4.9853,0.0147
2.3754,4.9804,0.0196
2.3794,4.9804,0.0147
2.3834,4.9853,0.0196
2.3869,4.9609,0.0196
2.3904,4.9804,0.0196
2.3952,4.9853,0.0196
2.3987,4.9804,0.0196
2.4027,4.9853,0.0196
2.4068,0.0342,0.0196
2.4107,4.9804,0.0196
2.4142,4.9804,0.0196
2.4184,4.9804,0.0196
2.4221,4.9804,0.0196
2.4262,3.4897,0.0196
2.4298,4.9804,0.0196
2.4342,4.9804,0.0098
2.4379,4.9804,0.0196
2.4419,4.9853,0.0196
2.4459,4.9658,0.0196
2.4499,4.9804,0.0293
2.4543,4.9804,0.0196
2.4574,4.9902,0.0196
2.4614,4.9804,0.0196
2.4648,4.9658,0.0196
2.4688,4.9804,0.0196
2.4728,4.9804,0.0196
2.4767,4.9804,0.0196
2.4813,4.9804,0.0196
2.4855,4.9756,0.0196
2.4889,4.9756,0.0196
2.4921,4.9804,0.0196
2.4964,4.9804,0.0196
2.5009,4.9804,0.0196
2.5042,4.9804,0.0196
2.5083,4.9756,0.0196
2.5118,4.9804,0.0196
2.5159,4.9804,0.0196
2.5199,4.9804,0.0196
2.5241,4.9804,0.0196
2.528,4.9707,0.0196
2.5314,4.9804,0.0196
2.5354,4.9804,0.0147
2.5398,4.9804,0.0196
2.5438,4.9804,0.0196
2.5473,4.9609,0.0196
2.5513,4.9804,0.0196
2.555,4.9804,0.0196
2.5595,4.9804,0.0244
2.5625,4.9853,0.0196
2.5665,4.9609,0.0196
2.5712,4.9804,0.0244
2.5742,4.9804,0.0196
2.5782,4.9804,0.0196
2.5825,4.9804,0.0196
2.5868,4.9609,0.0196
2.5908,4.9804,0.0196
2.5942,4.9804,0.0196
2.5983,4.9804,0.0196
2.602,4.9804,0.0244
2.6063,4.9658,0.0244
2.61,4.9804,0.0196
2.6131,4.9804,0.0196
2.618,4.9853,0.0244
2.6213,4.9804,0.0244
2.6255,4.956,0.0244
2.629,4.9804,0.0196
2.6327,4.9804,0.0293
2.6373,4.9804,0.0196
2.6417,4.9804,0.0244
2.6447,4.9756,0.0244
2.6491,4.9756,0.0196
2.6523,4.9804,0.0244
2.6571,4.9804,0.0244
2.6614,4.9804,0.0244
2.6644,4.9804,0.0244
2.6684,4.9658,0.0244
2.6719,4.9853,0.0244
2.6765,4.9804,0.0244
2.6807,4.9804,0.0244
2.6837,4.9853,0.0244
2.688,4.9658,0.0244
2.6915,4.9804,0.0244
2.6955,4.9804,0.0244
2.6995,4.9804,0.0244
2.7035,4.9804,0.0244
2.7075,4.9658,0.0244
2.7111,4.9804,0.0244
2.7151,4.9804,0.0244
2.7191,4.9804,0.0244
2.7231,4.9756,0.0244
2.727,4.9365,0.0244
2.7311,4.9804,0.0244
2.735,4.9804,0.0244
2.739,4.9804,0.0244
2.7431,4.9804,0.0244
2.747,3.0645,0.0244
2.7501,4.9804,0.0244
2.754,4.9804,0.0244
2.7581,4.9804,0.0244
2.762,4.9804,0.0244
2.7661,0.0342,0.0244
2.77,4.9804,0.0244
2.7741,4.9804,0.0244
2.778,4.9804,0.0244
2.7821,4.9804,0.0244
2.786,4.9609,0.0244
2.7891,4.9804,0.0244
2.794,4.9804,0.0244
2.7971,4.9804,0.0244
2.8014,4.9804,0.0244
2.8054,0.0293,0.0244
2.8084,4.9804,0.0244
2.8129,4.9804,0.0244
2.8173,4.9804,0.0244
2.8203,4.9804,0.0244
2.8249,4.9707,0.0244
2.828,4.9707,0.0244
2.8329,4.9804,0.0244
2.836,4.9804,0.0244
2.84,4.9804,0.0244
2.8443,4.9804,0.0244
2.8483,4.9658,0.0244
2.8518,4.9804,0.0293
2.856,4.9853,0.0244
2.8603,4.9804,0.0244
2.8633,4.9853,0.0244
2.8676,4.9609,0.0244
2.8717,4.9804,0.0244
2.875,4.9804,0.0244
2.8792,4.9853,0.0244
2.8832,4.9707,0.0244
2.8872,4.9609,0.0293
2.8904,4.9804,0.0293
2.895,4.9804,0.0293
2.8983,4.9804,0.0244
2.9032,4.9804,0.0244
2.9062,0.044,0.0244
2.9102,4.9804,0.0293
2.915,4.9804,0.0293
2.919,4.9804,0.0244
2.922,4.9804,0.0342
2.926,0.0293,0.0244
2.9302,4.9804,0.0293
2.9337,4.9804,0.0244
2.9381,4.9804,0.0293
2.9421,4.9853,0.0293
2.9461,0.0293,0.0293
2.9498,4.9804,0.0293
2.9532,4.9853,0.0293
2.9581,4.9804,0.0244
2.9611,4.9804,0.0293
2.9651,0.0293,0.0293
2.9692,4.9756,0.0293
2.9729,4.9804,0.0293
2.9769,4.9804,0.0293
2.9814,4.9804,0.0293
2.9849,4.9756,0.0293
2.9889,4.9658,0.0293
2.9929,4.9804,0.0293
2.997,4.9804,0.0293
3.0009,4.9804,0.0293
3.004,4.9804,0.0293
3.0076,4.9658,0.0293
3.0124,4.9756,0.0293
3.0163,4.9804,0.0293
3.0203,4.9804,0.0293
3.0245,4.9756,0.0293
3.0279,4.9609,0.0342
3.0321,4.9804,0.0293
3.0353,4.9804,0.0342
3.04,4.9756,0.0293
3.0434,4.9804,0.0342
3.0463,4.9609,0.0342
3.0511,4.9804,0.0342
3.055,4.9756,0.0342
3.059,4.9804,0.0342
3.0634,4.9804,0.0342
3.0666,0.0342,0.0342
3.0701,4.9707,0.0342
3.0749,4.9756,0.0342
3.0779,4.9804,0.0342
3.0827,4.9804,0.0342
3.0869,0.0293,0.0538
3.0909,4.9756,0.0978
3.094,4.9804,0.2835
3.0981,4.9804,0.523
3.1017,4.9804,0.8162
3.1059,0.0293,1.52
3.1104,4.9804,1.4027
3.1135,4.9658,1.3978
3.117,4.9804,1.5298
3.1218,4.9804,1.5054
3.1254,0.0293,2.2092
3.1288,4.9804,1.911
3.1338,4.9804,1.608
3.137,4.9804,1.828
3.1411,4.9756,1.7693
3.1451,4.9658,2.2385
3.1495,4.9756,2.3069
3.1529,4.9756,1.9501
3.1565,4.9804,1.999
3.1604,4.9756,1.9453
3.1645,4.9756,2.3705
3.1679,4.9707,2.6002
3.1729,4.9756,2.131
3.1764,4.9756,2.0968
3.1797,4.9804,2.2287
3.1838,4.9804,2.6295
3.1885,4.9707,2.8201
3.1916,4.9804,2.1945
3.1961,4.9804,2.4096
3.1993,4.9804,2.1505
3.2038,4.9804,2.7126
3.2073,4.9658,4.9511
3.2112,4.9804,4.6432
3.2155,4.9756,4.3597
3.2196,4.9804,3.8123
3.2229,4.9756,4.0665
3.2271,4.9756,3.9541
3.2312,4.9756,3.436
3.2354,4.9804,3.2649
3.2384,4.9804,3.4018
3.2427,4.9804,3.4457
3.2467,4.9756,3.7146
3.2507,4.9756,2.9863
3.2549,4.9804,2.7468
3.2581,4.9804,2.7273
3.2621,4.9756,2.8935
3.2665,4.9756,3.1329
3.27,4.9756,2.9814
3.2741,4.9756,2.6931
3.2783,4.9804,2.7028
3.2815,4.9756,2.3607
3.2857,4.9804,3.1085
3.2897,4.9804,2.9374
3.2938,4.9804,2.3314
3.2978,4.9804,2.2923
3.3012,4.9756,2.0674
3.3049,4.9756,2.9423
3.3094,4.9756,2.8739
3.3135,4.9756,2.175
3.3165,4.9804,2.3363
3.3211,4.9804,1.999
3.3248,4.9756,2.9277
3.3292,4.9804,3.0596
3.3326,4.9756,2.2776
3.3369,4.9756,2.3509
3.3399,4.9756,2.1505
3.3449,4.9804,2.7713
3.3483,4.9658,3.1916
3.3517,4.9804,2.4585
3.3557,4.9804,2.1994
3.3598,4.9804,2.0968
3.3641,4.9756,2.7761
3.3671,0.0342,3.1623
3.3723,4.9756,2.2581
3.3759,4.9756,2.3167
3.3791,4.9804,2.1163
3.3836,4.9756,2.5513
3.3866,0.0244,3.0303
3.3905,4.9756,2.2581
3.3943,4.9804,2.3265
3.3982,4.9756,2.1701
3.4029,4.9804,2.434
3.4064,0.0196,2.9374
3.4102,4.9756,2.3509
3.4145,4.9756,2.1457
3.4185,4.9756,2.3803
3.4228,4.9853,2.522
3.4261,4.9609,3.0743
3.4306,4.9756,2.6491
3.434,4.9804,2.3949
3.4375,4.9804,2.3656
3.4422,4.9756,2.3021
3.4454,4.9756,3.0743
3.45,4.9756,2.6295
3.4535,4.9756,2.0577
3.4578,4.9756,2.2923
3.4609,4.9756,1.999
3.465,4.9756,2.9912
3.4692,4.9756,2.9863
3.4734,4.9756,2.3216
3.4765,4.9756,2.4242
3.4804,4.9756,2.0723
3.4848,4.9756,2.9326
3.4889,4.9658,2.9472
3.4929,4.9756,2.0626
3.4971,4.9756,2.2727
3.5011,4.9756,2.0039
3.5041,4.9756,2.825
3.5081,0.0244,2.8935
3.5127,4.9756,2.1554
3.5157,4.9756,2.2874
3.5197,4.9756,2.0626
3.5237,4.9756,2.6197
3.5277,0.0147,2.8935
3.5317,4.9756,2.1945
3.5357,4.9707,2.1896
3.5397,4.9756,2.0186
3.5437,4.9756,2.3607
3.5477,0.0098,2.7175
3.5517,4.9756,2.175
3.5547,4.9756,2.2581
3.5589,4.9804,2.2532
3.5629,4.9756,2.346
3.5669,0.0098,2.9912
3.5709,4.9756,2.2483
3.5749,4.9756,2.1896
3.5781,4.9756,2.3558
3.5826,4.9756,2.2239
3.5864,0.0098,3.0303
3.5905,4.9756,2.2532
3.5945,4.9804,2.1408
3.5985,4.9756,2.346
3.6025,4.9756,2.2092
3.6055,0.0147,3.001
3.61,4.9756,2.5367
3.6141,4.9756,2.1994
3.6181,4.9756,2.3314
3.6221,4.9707,1.9404
3.6252,4.9756,2.9521
3.6295,4.9756,2.7273
3.6335,4.9756,2.1114
3.6375,4.9756,2.5953
3.641,4.9756,1.9599
3.6455,4.9756,3.0156
3.6496,4.9707,2.8152
3.653,4.9756,2.2434
3.6561,4.9756,2.5318
3.6607,4.9756,2.0772
3.6651,4.9756,2.7761
3.6682,0.0244,3.0938
3.6727,4.9756,2.1163
3.6762,4.9756,2.2092
3.6802,4.9756,1.8964
3.6846,4.9756,2.5855
3.6881,0.0098,2.957
3.6917,4.9756,2.1261
3.6957,4.9756,2.1896
3.6997,4.9756,1.9453
3.704,4.9756,2.6735
3.7077,0.0147,2.8739
3.7112,4.9756,2.2483
3.7154,4.9756,1.9746
3.7189,4.9804,2.131
3.7232,4.9707,2.3118
3.7274,0.0098,2.9179
3.7307,4.9756,2.1017
3.7351,4.9756,2.0821
3.7391,4.9853,2.2678
3.7431,4.9756,2.219
3.7462,0.0098,2.8104
3.7503,4.9707,2.3558
3.7545,4.9756,2.1457
3.7589,4.9756,2.3754
3.7619,4.9707,2.2287
3.7667,0.0098,2.8641
3.7703,4.9756,2.4389
3.7743,4.9756,2.0235
3.7784,4.9756,2.3363
3.7818,4.9756,2.1505
3.7861,4.9756,3.0205
3.7901,4.9756,2.6197
3.7932,4.9756,2.1505
3.7973,4.9756,2.4047
3.8013,4.9756,1.9941
3.8057,4.9756,2.7322
3.8095,4.9756,2.8299
3.8132,4.9756,2.2043
3.8172,4.9756,2.434
3.8214,4.9756,2.0186
3.8247,4.9756,2.7566
3.8287,4.9658,2.8055
3.8327,4.9756,2.2141
3.8367,4.9756,2.3509
3.841,4.9756,1.9844
3.8441,4.9756,2.5806
3.8486,4.9658,2.6784
3.8518,4.9756,2.1017
3.8555,4.9756,2.3607
3.86,4.9707,2.0235
3.8644,4.9756,2.2825
3.8674,0.0147,2.8006
3.8717,4.9756,2.219
3.8758,4.9804,2.3754
3.8798,4.9756,2.2239
3.8838,4.9756,2.3021
3.8878,0.0098,2.869
3.891,4.9756,2.175
3.8951,4.9756,2.4291
3.8996,4.9756,2.5073
