Time,Channel 1,Channel 2
0.7907,-163.4415,87.6249
0.7947,-71.5831,128.5202
0.7987,164.6903,54.9359
0.8027,80.9994,-170.6786
0.8067,23.8045,-79.2611
0.8096,-187.896,-18.0415
0.8135,-86.2124,193.1679
0.8186,158.6593,91.5574
0.8216,79.3668,-154.7146
0.8256,25.0616,-76.6401
0.8301,-185.1933,-22.9013
0.8341,-83.5782,185.468
0.8381,160.9836,83.7123
0.8411,81.135,-160.9446
0.8451,26.2421,-81.5018
0.8491,-184.3412,-26.2295
0.8531,-83.3907,183.8463
0.8571,160.9727,82.8944
0.8611,80.8488,-160.8595
0.8651,26.2134,-81.1422
0.8691,-104.2175,-25.9653
0.8733,-136.3051,184.3666
0.8763,129.2535,83.4575
0.8802,-112.9752,17.3433
0.8843,138.6405,-198.1886
0.8883,65.3567,-96.3668
0.8933,-160.6569,149.6092
0.8963,106.3833,73.1298
0.9002,-130.654,21.5104
0.9042,126.1231,-187.2829
0.9082,58.1545,-84.2097
0.9119,-164.5979,160.509
0.9159,105.1415,81.5224
0.9199,-130.2964,27.1815
0.9238,127.2417,-183.9789
0.9274,59.4732,-82.8615
0.9314,-163.4014,160.972
0.9352,105.8958,81.4514
0.9392,-129.548,26.4979
0.9432,127.5091,-184.6855
0.9472,59.973,-83.4593
0.9512,-163.3928,160.3571
0.9552,105.4754,81.2829
0.9592,-129.0666,26.4125
0.9622,127.4964,-184.7136
0.9662,59.7086,-83.4532
0.9708,-163.5665,-16.1086
0.9748,-71.6355,197.2186
0.9778,165.0344,96.3552
0.9818,80.7881,-150.3519
0.9858,23.5189,-73.246
0.9898,-187.8208,-20.4092
0.9944,-86.1397,186.7207
0.9974,158.7183,84.4643
1.0021,79.2336,-161.1037
1.0051,25.0274,-81.5766
1.0093,-184.9956,-26.2483
1.0137,-83.4702,183.6845
1.0177,161.0271,82.5116
1.0216,81.1379,-161.1155
1.0255,26.2236,-81.2893
1.0294,-184.3676,-25.8562
1.0332,-83.5916,184.2385
1.0368,161.0664,83.2294
1.0404,-97.1611,-160.6112
1.0448,143.1814,-80.9808
1.0485,62.9779,-25.701
1.0525,-165.1357,184.2884
1.0556,101.0646,83.3918
1.0604,-135.6714,17.2952
1.0639,122.4673,-198.0444
1.0679,55.2975,-96.4985
1.0725,-165.8562,149.7084
1.0755,104.5695,73.1556
1.0795,-130.418,21.3189
1.0835,127.3724,-187.3783
1.0875,59.7113,-84.2393
1.0915,-163.1488,160.5182
1.0953,106.1127,81.55
1.0993,-129.3865,27.2138
1.1033,127.7897,-183.7745
1.1073,59.9168,-82.9538
1.1113,-163.4375,160.9181
1.1153,105.6194,81.4264
1.1183,-129.5507,26.4921
1.1223,127.6477,-184.6806
1.1263,59.8104,-83.4496
1.1303,-163.5074,32.3785
1.1348,1.9282,165.3485
1.1383,116.2198,77.1235
1.1423,51.9947,-159.8043
1.1463,9.5818,-76.0581
1.1503,-192.0928,-19.3284
1.1543,-84.0142,189.7931
1.1583,162.5434,87.8607
1.1622,84.1547,-158.2957
1.1662,29.4966,-79.3754
1.1697,-181.5218,-24.7348
